aX,aY,aZ,gX,gY,gZ
-0.079,0.991,-0.041,0.427,0.549,0.122
-0.077,0.990,-0.038,0.488,0.549,0.244
-0.074,0.987,-0.036,0.488,0.366,0.366
-0.070,0.988,-0.037,0.610,0.183,0.488

1.522,1.007,1.860,388.977,-48.157,102.905
-1.862,-0.984,-1.749,453.125,26.062,20.935
-0.453,2.144,2.087,-119.568,-241.943,37.048
0.155,1.741,-0.908,-56.458,31.250,81.665
-0.722,0.684,-0.077,-45.715,-4.272,-13.550
-1.223,-0.035,0.011,-25.513,-32.776,-88.562
-0.360,0.986,0.309,9.888,1.465,-47.852
0.051,1.166,0.083,52.002,36.743,-18.250
0.222,0.893,0.056,38.147,27.649,-6.775
0.097,0.868,0.084,-6.775,3.113,0.610
0.075,0.896,-0.051,-15.869,-1.770,10.803
0.004,0.919,-0.055,0.916,1.282,16.052
-0.027,0.945,0.039,10.376,5.615,17.517
-0.052,0.988,0.096,9.216,11.353,14.587
-0.070,1.005,0.128,4.028,13.672,7.996
-0.072,1.013,0.132,-1.770,13.489,0.305
-0.067,1.025,0.112,-6.775,12.024,-4.761
-0.042,1.042,0.050,-8.362,10.193,-7.263
-0.071,1.018,0.033,-6.470,6.836,-8.179
-0.040,1.071,-0.078,-3.357,2.319,-7.324
-0.021,1.039,-0.062,2.808,-4.211,-3.967
-0.047,1.047,-0.062,9.155,-8.545,-0.488
-0.059,1.031,-0.026,11.292,-10.498,3.113
-0.058,1.028,0.014,8.911,-10.803,5.981
-0.057,1.010,0.047,6.653,-9.277,7.690
-0.056,0.984,0.074,5.432,-7.385,7.568
-0.055,0.963,0.091,3.906,-5.615,6.775
-0.054,0.951,0.098,2.808,-4.395,5.676
-0.057,0.943,0.098,3.052,-3.540,4.456
-0.065,0.937,0.085,3.845,-2.930,3.540
-0.069,0.930,0.065,4.761,-2.197,3.113
-0.073,0.925,0.048,5.371,-1.709,2.747
-0.077,0.933,0.045,4.578,-1.221,2.075
-0.078,0.933,0.041,4.150,-0.244,0.977
-0.077,0.941,0.038,3.418,0.732,-0.427
-0.091,0.946,0.042,2.441,1.465,-1.648
-0.069,0.956,0.036,0.793,1.038,-2.930
-0.074,0.968,0.050,-0.305,1.404,-3.906
-0.068,0.984,0.056,-2.014,1.160,-4.456
-0.066,0.994,0.057,-2.502,0.305,-4.211
-0.064,0.999,0.049,-1.770,-0.610,-3.784
-0.066,1.000,0.043,-0.854,-1.587,-2.808
-0.067,0.998,0.041,0.061,-2.319,-1.526
-0.069,0.995,0.038,0.732,-2.441,-0.061
-0.070,0.987,0.041,1.099,-2.441,0.916
-0.075,0.985,0.052,1.038,-2.197,1.465
-0.081,0.979,0.062,0.366,-1.282,1.282
-0.080,0.978,0.070,0.000,-0.549,1.099
-0.075,0.976,0.075,-0.549,0.000,0.610
-0.076,0.974,0.075,-0.793,0.427,0.061
-0.073,0.975,0.074,-1.038,0.549,-0.549
-0.074,0.978,0.070,-1.038,0.305,-0.793
-0.074,0.981,0.060,-1.160,0.183,-0.732
-0.072,0.981,0.054,-1.221,-0.183,-0.671
-0.069,0.980,0.052,-1.343,-0.488,-0.427
-0.067,0.986,0.053,-0.916,-0.671,-0.183
-0.064,0.987,0.054,-0.671,-0.854,-0.244
-0.063,0.993,0.060,-0.916,-0.793,-0.183
-0.061,0.996,0.063,-0.793,-0.488,-0.183
-0.063,1.000,0.068,-0.916,-0.366,-0.183
-0.063,1.001,0.071,-0.916,-0.061,0.000
-0.064,1.002,0.072,-1.343,0.183,0.488
-0.064,0.996,0.067,-1.099,0.366,0.854
-0.065,0.993,0.063,-0.732,0.671,1.221
-0.067,0.987,0.061,-0.061,0.610,1.465
-0.067,0.985,0.056,0.244,0.366,1.526
-0.069,0.980,0.052,0.244,0.427,1.465
-0.071,0.980,0.052,-0.122,0.244,1.404
-0.073,0.984,0.052,-0.305,-0.122,1.221
-0.075,0.985,0.052,-0.366,-0.427,0.916
-0.079,0.985,0.052,0.000,-0.671,1.038
-0.078,0.984,0.055,0.244,-0.671,1.160
-0.076,0.982,0.058,0.488,-0.610,1.038
-0.074,0.980,0.061,0.793,-0.793,0.977
-0.073,0.982,0.058,1.282,-0.854,0.854
-0.073,0.981,0.055,1.831,-0.916,0.549
-0.072,0.982,0.052,2.258,-0.916,0.366
-0.073,0.986,0.048,2.625,-1.038,0.183
-0.073,0.984,0.043,2.869,-1.099,0.183
-0.074,0.984,0.043,2.625,-0.916,0.244
-0.074,0.987,0.048,2.319,-0.793,0.427
-0.075,0.985,0.055,2.197,-0.854,0.244
-0.073,0.986,0.057,1.770,-0.671,0.183
-0.073,0.987,0.059,1.404,-0.671,0.122
-0.074,0.988,0.060,1.343,-0.671,-0.183
-0.074,0.992,0.062,0.793,-0.549,-0.183
-0.075,0.993,0.058,0.549,-0.305,0.061
-0.077,0.993,0.056,0.000,-0.366,0.366
-0.076,0.991,0.052,-0.183,-0.366,0.488
-0.073,0.988,0.050,-0.122,-0.427,0.671
-0.067,0.985,0.055,0.427,-0.854,1.038
-0.064,0.984,0.057,0.488,-0.977,1.221
-0.066,0.983,0.056,0.488,-0.977,1.221
-0.066,0.983,0.060,0.427,-0.916,1.038
-0.067,0.985,0.065,0.244,-0.854,0.916
-0.071,0.984,0.068,0.244,-0.610,0.549
-0.073,0.983,0.068,0.122,-0.549,0.427
-0.074,0.983,0.065,-0.183,-0.305,0.305
-0.078,0.980,0.054,0.122,0.000,0.183
-0.078,0.978,0.044,-0.061,0.183,0.000
-0.077,0.980,0.041,-0.244,0.305,0.061
-0.077,0.981,0.038,-0.427,0.366,-0.122
-0.075,0.983,0.044,-0.549,0.366,-0.305
-0.073,0.987,0.048,-0.488,0.244,-0.061
-0.071,0.991,0.057,-0.244,0.122,0.244
-0.071,0.991,0.061,0.427,0.000,0.305
-0.072,0.988,0.066,0.977,0.000,0.366
-0.071,0.988,0.068,1.282,-0.183,0.427
-0.071,0.989,0.066,1.038,-0.183,0.427
-0.069,0.986,0.063,0.916,-0.061,0.427
-0.070,0.984,0.060,0.977,0.305,0.244
-0.070,0.984,0.057,0.854,0.305,0.061
-0.073,0.984,0.052,0.610,0.122,-0.183
-0.076,0.983,0.052,0.549,0.000,0.000
-0.079,0.979,0.049,0.610,0.061,0.305
-0.077,0.978,0.050,0.427,-0.122,0.427
-0.076,0.979,0.051,0.610,-0.244,0.183
-0.075,0.980,0.052,0.793,-0.305,-0.122
-0.073,0.983,0.055,0.671,-0.366,-0.488

-2.363,0.587,3.853,176.575,83.252,47.729
1.378,0.227,-0.392,218.323,5.371,83.008
-0.626,2.054,1.114,-139.771,-106.812,77.759
-0.570,1.873,-0.796,-22.766,74.341,49.377
-0.778,0.125,-0.400,-12.817,29.724,-65.369
-0.931,-0.320,0.457,-43.457,-30.640,-109.253
-0.375,1.074,0.265,-38.208,-8.545,-34.607
0.348,1.190,0.119,7.751,42.236,10.010
0.346,0.985,-0.030,-7.874,25.391,16.663
0.128,0.854,-0.017,-7.690,0.793,11.292
0.007,0.837,-0.053,23.865,1.465,9.277
-0.045,0.853,-0.064,41.443,4.883,9.338
-0.077,0.927,0.052,35.156,6.836,7.812
-0.092,1.002,0.165,17.700,7.690,1.892
-0.103,1.038,0.177,0.244,9.705,-3.662
-0.098,1.044,0.131,-10.559,11.963,-7.080
-0.079,1.039,0.025,-13.611,12.268,-9.277
-0.071,1.070,0.020,-5.310,7.568,-9.094
-0.056,1.087,-0.121,2.869,7.935,-7.019
-0.059,1.087,-0.089,8.301,3.174,-3.479
-0.052,1.073,-0.045,12.390,-0.854,0.305
-0.050,1.051,-0.009,13.733,-3.418,4.272
-0.052,1.025,0.047,11.475,-6.042,7.629
-0.053,1.007,0.086,9.216,-7.141,9.338
-0.054,0.979,0.111,8.179,-6.775,9.277
-0.060,0.955,0.131,8.362,-5.432,7.935
-0.066,0.936,0.130,8.423,-4.028,6.409
-0.068,0.918,0.111,8.423,-3.174,4.761
-0.069,0.910,0.087,7.568,-2.930,3.174
-0.072,0.911,0.067,5.737,-3.052,1.587
-0.075,0.925,0.052,4.211,-2.930,0.427
-0.082,0.928,0.045,3.052,-2.319,-0.793
-0.082,0.934,0.048,2.441,-1.587,-1.465
-0.081,0.938,0.056,1.404,-1.160,-2.319
-0.074,0.953,0.067,0.000,-0.610,-3.479
-0.072,0.964,0.069,-1.465,-0.061,-4.822
-0.069,0.980,0.064,-2.686,0.244,-5.615
-0.066,0.992,0.061,-3.601,0.183,-5.737
-0.064,0.998,0.057,-3.418,-0.305,-5.371
-0.065,1.006,0.053,-2.502,-1.099,-4.272
-0.067,1.010,0.052,-0.671,-1.709,-2.991
-0.069,1.003,0.048,0.916,-2.808,-1.709
