aX,aY,aZ,gX,gY,gZ
-0.982,0.160,0.007,-2.319,-0.305,1.770

0.148,-0.099,2.552,9.705,-55.969,4.761
0.134,-0.100,2.534,1.709,-90.881,-1.831
0.149,-0.109,2.496,-12.085,-123.535,-7.690
0.155,-0.131,2.443,-29.358,-146.790,-12.756
0.185,-0.130,2.431,-47.485,-161.865,-16.907
0.216,-0.125,2.466,-61.646,-172.974,-20.630
0.242,-0.118,2.500,-68.970,-185.730,-23.376
0.272,-0.103,2.467,-69.519,-203.003,-25.635
0.344,-0.044,2.387,-63.904,-224.182,-27.771
0.402,0.029,2.279,-54.565,-246.460,-29.236
0.449,0.099,2.137,-46.570,-269.531,-27.771
0.479,0.140,1.939,-48.767,-292.847,-22.339
0.497,0.118,1.705,-60.303,-314.270,-16.113
0.466,0.082,1.448,-74.158,-330.933,-10.986
0.415,0.040,1.156,-81.360,-342.712,-8.728
0.370,0.045,0.881,-81.909,-350.403,-8.911
0.344,0.099,0.735,-77.026,-355.774,-8.179
0.282,0.087,0.540,-62.866,-355.591,-4.517
0.281,0.117,0.417,-50.964,-357.910,0.305
0.301,0.177,0.433,-42.297,-366.394,6.653
0.288,0.097,0.316,-31.494,-380.127,12.329
0.317,0.122,0.203,-28.809,-400.940,12.512
0.406,0.205,0.157,-29.236,-421.814,5.615
0.392,0.173,-0.033,-30.029,-437.805,-3.540
0.464,0.209,-0.275,-42.297,-451.416,-11.108
0.475,0.196,-0.550,-55.176,-451.538,-16.174
0.414,0.152,-0.842,-63.293,-430.542,-15.259
0.336,0.114,-1.158,-65.857,-400.879,-9.644
0.273,0.077,-1.405,-66.711,-367.981,-7.812
0.216,-0.015,-1.650,-67.139,-326.721,-7.263
0.180,-0.126,-1.836,-70.007,-282.959,-3.052
0.167,-0.221,-1.970,-75.684,-240.662,2.563
0.109,-0.302,-2.063,-78.796,-198.242,9.216
-0.003,-0.366,-2.146,-78.796,-152.405,16.785
-0.173,-0.347,-2.139,-81.787,-102.417,24.231
-0.362,-0.280,-1.987,-79.834,-46.753,33.264
-0.534,-0.143,-1.649,-60.181,2.991,39.917
-0.715,-0.053,-1.154,-21.179,38.513,42.175
-0.872,0.041,-0.603,24.658,57.922,41.260
-1.022,0.066,-0.075,61.829,57.800,36.194
-1.105,0.094,0.272,81.421,41.992,26.428
-1.176,0.155,0.361,84.473,17.090,13.672
-1.233,0.239,0.277,75.806,-11.292,0.061
-1.205,0.267,0.136,62.256,-33.997,-10.986
-1.155,0.285,-0.100,48.218,-41.626,-18.127
-1.089,0.318,-0.265,34.180,-39.490,-19.409
-0.996,0.317,-0.357,24.841,-29.602,-16.663
-0.925,0.258,-0.487,24.597,-14.160,-12.268
-0.887,0.235,-0.551,19.043,2.686,-8.728
-0.865,0.234,-0.523,7.996,21.545,-5.920
-0.859,0.226,-0.393,-1.282,36.804,-2.930
-0.885,0.209,-0.207,-6.165,41.199,0.671
-0.897,0.190,-0.042,-6.104,34.729,5.676
-0.951,0.177,0.030,-0.366,23.621,10.620
-1.017,0.184,0.051,6.714,12.634,14.526
-1.057,0.171,0.049,10.193,5.737,16.235
-1.086,0.150,0.051,7.446,3.601,15.503
-1.094,0.139,0.053,1.770,3.906,12.939
-1.084,0.127,0.039,-1.770,3.845,9.521
-1.059,0.123,0.004,-2.625,2.075,6.897
-1.028,0.124,-0.043,-3.052,-1.221,4.272
-0.997,0.130,-0.082,-3.906,-3.601,2.625
-0.978,0.127,-0.121,-5.615,-5.554,1.892
-0.952,0.138,-0.150,-8.850,-7.080,2.014
-0.939,0.148,-0.188,-9.033,-8.301,2.869
-0.931,0.157,-0.222,-6.348,-9.094,4.456
-0.927,0.163,-0.248,-3.357,-8.606,6.348
-0.926,0.167,-0.257,-0.671,-5.615,7.812
-0.928,0.168,-0.255,1.953,-1.221,8.301
-0.937,0.172,-0.240,3.906,3.296,7.935
-0.940,0.168,-0.223,5.127,7.446,6.348
-0.941,0.172,-0.202,6.226,9.583,4.761
-0.933,0.170,-0.192,7.080,8.972,3.479
-0.935,0.178,-0.195,7.812,6.714,2.625
-0.938,0.183,-0.201,8.545,4.639,2.441
-0.948,0.182,-0.209,9.033,4.639,2.136
-0.951,0.183,-0.211,8.606,5.493,1.404
-0.951,0.184,-0.212,7.446,6.775,0.427
-0.952,0.185,-0.213,6.348,7.935,-0.488
-0.951,0.183,-0.210,5.432,8.789,-0.977
-0.947,0.179,-0.202,4.517,9.155,-1.282
-0.937,0.179,-0.192,4.028,8.423,-1.099
-0.936,0.183,-0.178,3.601,6.714,-0.977
-0.946,0.188,-0.163,1.099,4.639,-0.610
-0.953,0.192,-0.147,-2.197,1.892,-0.305
-0.964,0.196,-0.147,-3.723,-0.305,-0.488
-0.976,0.202,-0.152,-3.723,-1.465,-0.122
-0.985,0.198,-0.158,-3.296,-1.221,0.610
-0.986,0.189,-0.156,-2.441,-0.549,1.526
-0.985,0.177,-0.156,-1.343,0.305,2.075
-0.988,0.169,-0.158,-0.854,1.282,2.136
-0.985,0.163,-0.160,-0.793,1.953,1.831
-0.984,0.163,-0.157,-0.916,2.686,1.160
-0.979,0.164,-0.152,-0.793,3.540,0.244
-0.973,0.171,-0.151,-1.038,3.906,-0.916
-0.970,0.179,-0.151,-1.587,3.662,-1.648
-0.971,0.194,-0.154,-1.282,2.869,-1.587
-0.971,0.202,-0.161,0.122,2.136,-0.793
-0.965,0.206,-0.171,1.770,1.770,0.610
-0.964,0.204,-0.182,3.662,1.770,1.831
-0.959,0.199,-0.187,4.944,2.563,2.991
-0.955,0.188,-0.186,5.188,4.150,3.479
-0.953,0.177,-0.182,4.395,5.310,3.662
-0.947,0.175,-0.171,3.235,5.676,3.235
-0.941,0.169,-0.167,2.686,5.554,2.808
-0.938,0.168,-0.165,2.014,5.127,2.625
-0.941,0.171,-0.160,0.977,4.333,2.258
-0.947,0.173,-0.156,0.549,3.967,2.075
-0.946,0.172,-0.160,0.610,4.028,2.686
-0.942,0.176,-0.166,0.793,3.479,2.808
-0.942,0.178,-0.175,1.221,2.686,2.869
-0.948,0.186,-0.179,1.099,2.258,2.380
-0.950,0.189,-0.185,0.061,2.747,1.953
-0.958,0.191,-0.180,-1.282,3.723,1.770
-0.958,0.184,-0.170,-2.136,4.639,1.953
-0.968,0.182,-0.159,-2.808,4.456,2.014
-0.976,0.181,-0.144,-2.808,2.991,2.136
-0.980,0.173,-0.140,-0.854,2.319,2.136
-0.980,0.174,-0.130,-0.061,0.793,1.770

-0.031,-0.212,2.496,-17.639,-99.670,4.578
0.002,-0.227,2.595,-37.781,-125.427,-5.676
-0.012,-0.219,2.680,-49.377,-145.386,-16.663
0.000,-0.173,2.786,-54.688,-166.321,-23.865
0.016,-0.139,2.877,-55.969,-191.406,-27.954
0.035,-0.123,2.842,-53.223,-220.276,-31.921
0.140,-0.048,2.830,-49.744,-248.718,-34.790
0.197,0.000,2.830,-48.340,-273.437,-35.156
0.214,-0.028,2.698,-53.284,-294.678,-34.119
0.261,-0.068,2.506,-68.298,-313.477,-33.691
0.273,-0.086,2.279,-86.670,-327.332,-36.072
0.267,-0.094,1.961,-103.210,-339.783,-40.588
0.307,-0.054,1.623,-117.493,-351.318,-45.349
0.347,0.044,1.460,-121.460,-356.812,-46.387
0.345,0.061,1.239,-108.459,-359.558,-40.649
0.349,0.124,1.010,-91.309,-365.845,-30.334
0.372,0.141,0.796,-73.792,-371.033,-19.470
0.389,0.092,0.570,-59.753,-375.000,-10.254
0.462,0.136,0.461,-54.932,-378.113,-2.747
0.546,0.210,0.482,-48.279,-378.052,4.028
0.538,0.166,0.319,-36.377,-381.531,10.376
0.566,0.208,0.102,-33.081,-393.677,13.977
0.653,0.245,-0.116,-34.668,-406.921,13.123
0.687,0.242,-0.391,-37.292,-412.537,8.423
0.709,0.243,-0.726,-44.128,-407.471,2.625
0.689,0.218,-1.089,-54.932,-389.893,-1.526
0.651,0.150,-1.423,-66.650,-363.770,-1.831
0.629,0.073,-1.661,-74.768,-332.825,0.549
0.513,-0.106,-1.879,-73.364,-299.072,7.507
0.426,-0.267,-2.075,-66.406,-267.029,19.714
0.388,-0.414,-2.295,-53.833,-236.328,32.715
0.310,-0.539,-2.519,-39.185,-196.167,42.969
0.195,-0.561,-2.671,-38.025,-134.338,49.561
-0.074,-0.498,-2.540,-56.030,-51.758,54.382
-0.418,-0.339,-1.947,-81.665,31.982,57.922
-0.611,-0.185,-1.138,-69.458,79.163,55.054
-0.783,-0.201,-0.523,-4.395,87.891,41.016
-0.998,-0.138,-0.084,54.932,75.439,24.353
-1.156,0.060,0.165,78.247,63.354,11.536
-1.241,0.195,0.349,84.961,54.932,-0.793
-1.286,0.193,0.434,86.182,40.588,-13.184
-1.213,0.172,0.341,75.317,23.560,-23.621
-1.127,0.224,0.107,55.908,4.395,-27.954
-1.023,0.248,-0.172,41.382,-13.794,-27.771
-0.960,0.229,-0.412,31.189,-24.719,-25.391
-0.935,0.238,-0.558,21.606,-22.644,-20.569
-0.918,0.243,-0.589,8.301,-5.493,-14.282
-0.922,0.244,-0.488,-5.676,15.869,-6.348
-0.925,0.226,-0.341,-10.925,30.334,-0.244
-0.963,0.217,-0.169,-9.216,34.729,6.226
-1.003,0.200,-0.014,-1.526,29.419,12.024
-1.033,0.170,0.058,9.583,20.874,15.991
-1.062,0.152,0.078,16.052,13.855,17.456
-1.079,0.139,0.088,14.343,10.010,15.198
-1.075,0.125,0.095,8.423,8.911,9.888
-1.054,0.115,0.087,1.282,7.568,4.333
-1.026,0.121,0.045,-4.211,3.906,-0.244
-0.986,0.132,-0.006,-6.775,-0.854,-2.502
-0.955,0.146,-0.064,-6.775,-4.517,-2.930
-0.937,0.152,-0.098,-6.531,-6.653,-2.136
-0.925,0.149,-0.116,-8.301,-6.958,-0.793
-0.924,0.144,-0.126,-11.230,-4.822,0.854
-0.928,0.143,-0.145,-12.512,-2.441,2.014
-0.917,0.128,-0.161,-11.108,-1.648,2.808
-0.917,0.128,-0.191,-8.728,-1.831,3.784
-0.925,0.119,-0.223,-5.676,-1.953,4.700
-0.937,0.116,-0.245,-3.784,14.771,4.883
-0.954,0.117,-0.238,0.610,6.226,4.456
-0.961,0.119,-0.218,4.272,9.033,3.784
-0.966,0.129,-0.200,8.301,10.254,3.601
-0.976,0.141,-0.187,11.780,9.888,3.357
-0.981,0.153,-0.175,13.550,9.888,3.174
-0.985,0.163,-0.167,14.282,11.047,2.808
-0.976,0.175,-0.155,14.160,12.390,2.197
-0.969,0.182,-0.143,13.428,13.672,1.648
-0.965,0.193,-0.131,11.719,14.893,1.038
-0.954,0.192,-0.125,9.094,15.625,0.671
-0.945,0.187,-0.123,5.920,15.259,0.305
-0.949,0.184,-0.121,2.747,13.977,0.244
-0.950,0.185,-0.118,-0.183,12.390,-0.122
-0.957,0.177,-0.121,-2.869,10.620,-0.305
-0.958,0.171,-0.123,-4.578,8.789,-0.244
-0.971,0.171,-0.109,-5.310,6.531,0.305
-0.975,0.162,-0.097,-5.066,4.089,0.977
-0.973,0.153,-0.093,-4.211,2.197,2.075
-0.979,0.145,-0.094,-3.601,0.854,2.991
-0.986,0.136,-0.101,-3.235,0.366,2.869
-0.987,0.130,-0.107,-3.357,0.366,1.831
-0.988,0.135,-0.115,-3.357,0.549,0.183
-0.988,0.148,-0.120,-2.869,0.916,-1.343
-0.979,0.156,-0.123,-2.319,1.038,-1.953
-0.975,0.172,-0.121,-1.587,1.404,-1.038
-0.975,0.168,-0.120,0.610,1.221,0.000
-0.973,0.171,-0.123,2.747,1.404,1.038
-0.974,0.172,-0.128,4.028,1.343,1.831
-0.972,0.170,-0.134,4.822,1.648,2.380
-0.972,0.164,-0.136,5.554,2.380,2.991
-0.972,0.158,-0.140,6.592,3.357,3.662
-0.972,0.152,-0.141,7.324,4.150,3.662
-0.974,0.149,-0.137,7.385,5.371,2.869
-0.975,0.147,-0.128,7.202,6.897,2.014
-0.969,0.147,-0.120,6.592,7.996,0.977
-0.968,0.157,-0.105,5.676,8.484,0.122
-0.967,0.161,-0.099,4.639,8.728,-0.122
-0.959,0.167,-0.096,3.906,7.751,0.366
-0.955,0.167,-0.104,3.723,6.042,1.404
-0.952,0.166,-0.116,3.662,4.517,2.686
-0.952,0.158,-0.125,3.601,3.418,3.723
-0.955,0.152,-0.130,2.869,2.930,3.967
-0.958,0.149,-0.134,2.075,3.174,3.723
-0.962,0.150,-0.130,0.305,4.211,2.869
-0.969,0.152,-0.119,-1.892,5.493,1.709
-0.970,0.154,-0.110,-3.723,6.226,1.038
-0.974,0.158,-0.105,-4.150,5.920,1.160
-0.980,0.161,-0.106,-3.723,5.188,1.465
-0.983,0.166,-0.101,-2.869,4.395,2.380
-0.990,0.163,-0.100,-1.953,3.906,3.052
-0.990,0.161,-0.095,-1.587,2.991,3.174
-0.989,0.162,-0.094,-1.282,2.319,2.563

0.078,-0.340,2.181,-42.480,-64.819,-17.395
0.084,-0.280,2.163,-62.439,-86.792,-32.471
0.112,-0.198,2.125,-79.956,-109.558,-43.152
0.127,-0.128,2.078,-88.135,-128.967,-48.767
0.140,-0.091,2.031,-86.914,-145.630,-48.828
0.173,-0.057,2.026,-81.909,-159.912,-44.983
0.207,-0.019,2.117,-73.364,-171.814,-38.391
0.193,-0.016,2.197,-63.232,-184.875,-31.189
0.187,0.002,2.209,-59.326,-203.247,-26.489
0.233,0.048,2.219,-62.744,-225.647,-25.391
0.243,0.051,2.153,-71.106,-249.084,-26.550
0.245,0.040,1.985,-81.787,-270.752,-28.015
0.277,0.091,1.856,-93.994,-291.626,-28.687
0.252,0.084,1.675,-98.572,-309.509,-27.893
0.219,0.097,1.464,-97.107,-324.768,-24.414
0.204,0.154,1.338,-88.867,-335.449,-20.264
0.157,0.171,1.194,-70.496,-340.881,-14.282
0.120,0.165,1.026,-51.392,-346.741,-7.874
0.141,0.203,0.889,-39.673,-356.628,-3.052
0.174,0.253,0.833,-28.381,-365.784,2.014
0.181,0.204,0.706,-17.334,-371.155,7.080
0.195,0.203,0.555,-16.724,-376.282,10.376
0.222,0.241,0.456,-20.752,-380.066,11.047
0.265,0.275,0.396,-23.621,-379.211,9.583
0.276,0.287,0.310,-27.710,-375.916,8.789
0.272,0.275,0.124,-36.255,-379.578,8.789
0.341,0.278,-0.057,-44.067,-388.733,6.775
0.383,0.288,-0.187,-44.312,-392.578,4.089
0.369,0.221,-0.398,-41.016,-386.536,4.272
0.357,0.222,-0.666,-41.077,-377.136,8.484
0.330,0.167,-0.965,-41.504,-364.136,12.390
0.317,0.056,-1.249,-43.579,-345.581,15.564
0.299,-0.051,-1.526,-49.377,-321.289,17.639
0.254,-0.180,-1.789,-59.326,-288.757,18.616
0.192,-0.274,-1.989,-72.693,-246.582,20.325
0.088,-0.338,-2.112,-82.336,-191.223,24.536
-0.026,-0.433,-2.142,-83.130,-127.014,35.583
-0.329,-0.425,-1.795,-76.355,-4.028,38.696
-0.474,-0.311,-1.296,-65.979,44.434,40.955
-0.646,-0.235,-0.772,-38.086,69.702,42.114
-0.829,-0.169,-0.293,-2.869,67.566,38.574
-0.999,-0.105,0.049,27.649,45.349,29.297
-1.131,-0.012,0.216,45.776,19.104,17.578
-1.203,0.078,0.229,51.697,-1.160,4.761
-1.221,0.135,0.129,50.964,-15.320,-7.263
-1.180,0.144,-0.034,48.584,-23.132,-18.372
-1.116,0.164,-0.226,42.725,-24.963,-26.550
-1.050,0.187,-0.409,35.034,-21.423,-31.006
-0.961,0.200,-0.510,27.466,-12.024,-30.884
-0.883,0.196,-0.545,21.790,0.305,-26.855
-0.829,0.202,-0.504,15.930,12.878,-19.653
-0.827,0.192,-0.433,11.047,21.851,-10.498
-0.866,0.187,-0.348,6.409,25.024,-1.770
-0.922,0.176,-0.257,4.456,23.926,5.066
-0.980,0.179,-0.148,4.700,20.264,9.888
-1.027,0.164,-0.065,6.409,16.235,12.878
-1.071,0.149,-0.008,7.935,13.672,14.282
-1.097,0.130,0.023,7.263,11.780,14.343
-1.099,0.110,0.041,5.432,9.338,12.939
-1.092,0.101,0.052,2.686,5.310,10.132
-1.078,0.096,0.034,-1.160,0.305,6.653
-1.056,0.112,-0.003,-4.700,-5.493,3.174
-1.024,0.124,-0.066,-6.165,-11.230,0.549
-0.979,0.132,-0.141,-5.859,-15.564,-0.610
-0.941,0.140,-0.221,-6.653,-18.005,-0.854
-0.911,0.149,-0.281,-8.484,-17.944,-0.977
-0.894,0.158,-0.313,-9.766,-14.526,-0.549
-0.888,0.153,-0.315,-9.521,-8.972,0.366
-0.890,0.149,-0.303,-8.118,-3.845,2.136
-0.897,0.147,-0.282,-5.737,-0.122,4.028
-0.911,0.150,-0.252,-2.563,4.883,5.493
-0.932,0.153,-0.213,2.258,6.348,4.944
-0.940,0.152,-0.196,3.357,7.324,4.456
-0.942,0.150,-0.196,4.395,7.202,4.089
-0.943,0.151,-0.200,6.409,6.287,4.150
-0.943,0.150,-0.211,8.667,5.737,4.211
-0.935,0.144,-0.223,10.010,5.798,3.723
-0.934,0.143,-0.238,9.827,6.042,2.686
-0.940,0.138,-0.244,8.484,7.263,1.648
