aX,aY,aZ,gX,gY,gZ
0.745,0.169,2.141,36.011,397.278,-29.541
0.682,0.219,2.099,-19.836,360.657,-26.611
0.663,0.219,2.005,-50.171,324.890,-23.560
0.670,0.213,1.935,-64.087,291.748,-20.813
0.687,0.169,1.803,-56.885,268.250,-17.944
0.673,0.194,1.745,-35.583,251.587,-15.137
0.647,0.336,2.080,-7.141,235.718,-13.062
0.762,0.477,2.870,32.227,235.046,-12.207
0.858,0.370,1.623,87.646,270.874,-10.315
0.774,0.358,2.217,67.627,254.700,-11.414
0.775,0.361,2.412,28.748,224.609,-17.822
0.810,0.279,1.965,-35.950,208.496,-26.428
0.768,0.390,2.692,-96.985,180.298,-38.330
0.634,0.506,2.710,-53.162,181.763,-47.424
0.578,0.460,2.727,-0.488,205.505,-43.396
0.487,0.409,2.411,36.133,226.440,-24.841
0.548,0.341,2.053,51.697,222.656,-6.042
0.605,0.203,1.888,49.927,173.401,1.831
0.549,0.093,1.890,37.354,102.295,-0.183
0.518,0.050,1.938,17.273,48.950,-5.554
0.525,-0.000,1.770,10.498,26.306,-12.146
0.535,-0.015,1.611,13.062,22.278,-16.296
0.470,0.029,1.405,11.169,15.686,-13.794
0.389,0.108,1.256,-2.258,-1.709,-4.272
0.340,0.154,1.261,-14.038,-23.437,5.798
0.335,0.134,1.215,-17.639,-37.842,11.108
0.323,0.126,1.057,-16.479,-39.795,12.634
0.314,0.111,0.982,-16.174,-39.734,12.146
0.313,0.085,0.910,-12.573,-38.086,12.573
0.329,0.045,0.881,-7.874,-32.471,13.428
0.329,0.030,0.864,-3.662,-27.649,13.733
0.304,0.032,0.866,-2.625,-23.987,12.634
0.307,0.037,0.884,-3.479,-17.822,10.010
0.279,0.032,0.938,-3.845,-19.165,8.545
0.257,0.039,0.948,-3.967,-20.935,7.141
0.264,0.033,0.906,-5.066,-18.188,4.333
0.269,0.021,0.886,-7.202,-18.860,0.671
0.271,0.020,0.837,-8.728,-20.874,-1.160
0.263,0.025,0.787,-9.583,-22.095,-2.136
0.274,0.026,0.786,-11.597,-20.996,-3.052
0.288,0.025,0.775,-11.963,-18.738,-4.089
0.289,0.041,0.769,-9.521,-15.259,-4.700
0.284,0.070,0.784,-5.859,-10.925,-5.310
0.287,0.101,0.791,-2.380,-6.531,-5.249
0.303,0.127,0.792,-0.427,-2.258,-4.517
0.318,0.151,0.861,0.183,1.099,-3.113
0.316,0.167,0.894,2.747,5.066,-1.099
0.310,0.157,0.911,5.432,7.751,1.526
0.300,0.137,0.923,7.385,7.690,4.333
0.299,0.108,0.927,8.728,6.165,6.897
0.310,0.077,0.923,8.667,3.784,7.935
0.322,0.046,0.911,7.507,1.648,7.996
0.325,0.027,0.896,6.470,0.793,7.507
0.320,0.012,0.892,5.859,0.549,6.287
0.304,0.017,0.868,4.150,0.488,5.005
0.284,0.043,0.921,1.099,-1.160,3.540
0.274,0.060,0.924,1.404,-0.366,1.709
0.277,0.072,0.911,1.892,1.892,0.916
0.285,0.075,0.900,0.427,2.930,0.732
0.284,0.070,0.900,-0.305,3.967,0.610
0.282,0.061,0.904,-0.183,4.761,0.854
0.288,0.062,0.907,0.061,5.127,1.709
0.291,0.052,0.918,-0.427,5.005,1.404
0.292,0.060,0.918,-0.916,4.639,1.221
0.295,0.065,0.914,-0.854,4.333,0.732
0.294,0.069,0.912,-0.549,3.967,0.427
0.289,0.074,0.905,0.000,3.906,-0.061
0.287,0.077,0.885,1.404,4.150,0.122
0.277,0.079,0.894,2.441,4.211,0.366
0.276,0.069,0.893,4.211,5.249,0.488
0.281,0.074,0.893,6.042,5.798,0.427
0.291,0.079,0.882,7.568,5.676,-0.244
0.295,0.095,0.919,6.836,4.639,-1.770
0.297,0.099,0.911,6.165,3.845,-2.319
0.299,0.113,0.908,4.578,3.967,-2.625
0.310,0.105,0.911,3.357,4.578,-2.991
0.307,0.108,0.924,2.441,4.700,-2.869
0.304,0.112,0.933,1.587,4.028,-2.747
0.302,0.110,0.934,1.099,2.808,-2.502
0.304,0.100,0.922,1.404,1.526,-1.831
0.302,0.102,0.913,0.793,0.488,-1.526
0.301,0.101,0.904,0.061,-0.305,-1.465
0.301,0.098,0.898,-0.854,-0.610,-1.343
0.304,0.094,0.889,-1.343,-0.122,-1.099
0.303,0.082,0.884,-1.770,0.854,-1.038
0.302,0.064,0.888,-0.610,1.892,-0.610
0.294,0.059,0.893,1.282,2.930,0.061
0.293,0.060,0.890,2.930,3.906,0.488
0.288,0.061,0.898,4.028,4.272,0.305
0.286,0.070,0.905,4.395,4.517,0.366
0.286,0.078,0.906,3.113,4.944,-0.305
0.287,0.084,0.901,2.441,4.944,-0.183
0.288,0.088,0.901,2.136,4.883,0.000
0.290,0.085,0.906,2.136,5.005,0.183
0.292,0.083,0.900,1.587,5.493,0.427
0.303,0.077,0.896,0.854,6.226,0.366
0.309,0.075,0.896,0.488,7.202,0.000
0.311,0.065,0.908,1.099,8.362,-0.183
0.310,0.058,0.919,1.587,8.850,-0.854
0.310,0.070,0.931,1.892,8.301,-1.038
0.303,0.081,0.939,2.075,7.324,-0.732
0.318,0.071,0.935,2.991,6.348,-0.305
0.313,0.082,0.935,2.136,4.089,-0.732
0.305,0.076,0.936,2.014,2.625,-0.366
0.306,0.073,0.934,2.502,1.465,-0.122
0.307,0.081,0.927,2.441,-0.427,-0.427
0.307,0.087,0.912,1.160,-1.648,-0.793
0.313,0.090,0.905,-0.366,-2.075,-0.916
0.313,0.091,0.895,-1.831,-2.258,-1.038
0.320,0.091,0.879,-2.808,-2.075,-0.793
0.317,0.087,0.876,-2.869,-1.404,-0.244
0.320,0.085,0.873,-2.258,-0.366,0.183
0.319,0.079,0.877,-1.953,0.732,0.244
0.318,0.072,0.882,-1.526,1.892,0.488
0.319,0.080,0.880,-1.282,2.869,0.122
0.313,0.088,0.890,-0.244,3.845,-0.061
0.308,0.094,0.906,1.160,4.211,0.122
