aX,aY,aZ,gX,gY,gZ
2.296,0.580,2.471,-152.954,345.154,-5.249
2.249,0.703,2.821,-146.057,318.176,-29.602
1.977,0.818,2.991,-139.282,263.611,-42.114
1.620,0.942,3.011,-114.685,188.110,-41.504
1.395,0.900,2.634,-72.205,123.413,-34.058
1.190,0.782,2.201,-18.982,78.003,-23.865
1.006,0.716,1.867,27.649,38.696,-14.709
0.885,0.653,1.638,45.288,17.212,-10.986
0.977,0.627,1.058,38.879,39.124,-11.475
0.840,0.499,1.292,30.029,56.091,-14.343
0.902,0.553,1.163,28.870,30.396,-6.470
0.898,0.552,1.398,9.827,24.109,1.831
0.887,0.536,1.609,-10.254,27.222,9.399
0.929,0.545,1.704,-22.522,36.438,12.512
0.846,0.459,1.621,-23.926,36.011,10.132
0.792,0.404,1.790,-5.554,21.729,7.629
0.727,0.409,1.339,11.536,17.212,4.944
0.605,0.410,1.296,28.320,1.587,1.587
0.518,0.443,1.129,31.494,-10.803,1.648
0.455,0.458,0.948,28.931,-19.653,2.380
0.435,0.460,0.865,22.827,-28.259,4.578
0.414,0.463,0.834,11.230,-31.494,7.324
0.416,0.463,0.825,0.549,-28.198,8.728
0.406,0.457,0.842,-5.371,-18.677,8.606
0.418,0.439,0.872,-5.249,-6.470,9.033
0.439,0.403,0.880,-0.671,4.639,11.292
0.462,0.345,0.870,5.859,11.108,14.343
0.485,0.303,0.854,10.376,11.719,17.090
0.498,0.268,0.831,12.756,9.155,19.043
0.514,0.240,0.805,13.977,4.517,19.104
0.546,0.231,0.833,14.038,-2.319,17.517
0.542,0.244,0.834,11.597,-10.864,14.221
0.543,0.247,0.786,10.620,-19.958,10.315
0.549,0.236,0.732,13.428,-26.855,7.690
0.535,0.220,0.783,16.174,-29.663,6.470
0.560,0.219,0.688,18.005,-24.780,5.798
0.563,0.204,0.704,15.991,-16.296,4.211
0.567,0.190,0.715,13.245,-8.911,2.991
0.564,0.182,0.730,10.559,-4.761,2.563
0.564,0.174,0.744,8.118,-3.784,2.380
0.566,0.167,0.761,6.531,-3.235,2.075
0.556,0.174,0.774,5.676,-3.357,0.671
0.523,0.192,0.770,5.798,-3.784,-1.587
0.497,0.221,0.736,6.592,-4.883,-3.662
0.479,0.257,0.712,6.409,-6.348,-4.639
0.458,0.292,0.699,5.737,-6.348,-4.944
0.438,0.318,0.696,4.517,-4.456,-4.272
0.426,0.324,0.699,3.296,-1.526,-2.747
0.430,0.312,0.712,2.930,2.930,-0.244
0.441,0.290,0.724,3.723,7.263,2.319
0.461,0.267,0.727,5.493,11.047,3.906
0.500,0.251,0.734,7.324,14.465,4.517
0.524,0.236,0.769,7.874,17.273,4.089
0.533,0.234,0.806,6.348,17.700,2.319
0.525,0.258,0.836,5.005,14.465,0.061
0.517,0.273,0.848,5.127,9.094,-1.160
0.512,0.279,0.843,5.981,3.235,-1.221
0.512,0.281,0.828,7.751,-1.282,-0.122
0.504,0.254,0.797,8.789,-4.089,1.099
0.505,0.225,0.778,9.644,-5.493,2.075
0.511,0.205,0.764,9.583,-5.066,2.319
0.521,0.187,0.756,7.996,-3.357,1.831
0.531,0.209,0.790,4.761,-0.427,0.916
0.517,0.197,0.747,2.869,3.174,-0.488
0.507,0.216,0.807,3.174,1.526,-1.099
0.503,0.240,0.849,1.099,2.075,-1.099
0.498,0.245,0.837,0.122,4.272,-0.977
0.492,0.246,0.863,2.075,1.953,-0.183
0.491,0.241,0.872,3.418,-1.709,0.305
0.493,0.237,0.866,4.395,-5.066,0.305
0.501,0.228,0.861,5.310,-8.240,-0.183
0.505,0.231,0.845,5.676,-10.986,-1.099
0.499,0.243,0.841,5.798,-13.000,-2.075
0.491,0.251,0.834,6.226,-13.794,-2.380
0.480,0.255,0.820,6.531,-12.878,-2.625
0.474,0.256,0.813,7.141,-11.047,-2.441
0.471,0.252,0.807,8.057,-8.850,-2.258
0.464,0.250,0.799,8.972,-6.653,-2.136
0.460,0.244,0.781,9.583,-4.639,-2.258
0.463,0.239,0.768,9.521,-3.174,-2.014
0.462,0.239,0.757,7.263,-1.282,-1.160
0.459,0.241,0.758,3.845,0.671,-0.122
0.463,0.246,0.771,0.916,1.953,1.038
0.467,0.250,0.777,-2.136,3.357,2.197
0.471,0.248,0.792,-4.150,4.395,3.296
0.483,0.252,0.801,-5.493,5.005,4.211
0.501,0.243,0.824,-5.554,6.836,4.517
0.512,0.223,0.838,-4.211,7.935,3.662
0.520,0.225,0.843,-2.563,5.554,2.075
0.525,0.229,0.851,-1.038,2.075,0.854
0.529,0.226,0.851,0.061,0.000,-0.549
0.527,0.235,0.856,0.549,-3.296,-1.465
0.524,0.246,0.846,0.366,-6.531,-1.953
0.518,0.243,0.837,0.549,-8.972,-2.197
0.521,0.250,0.816,1.343,-9.216,-2.014
0.510,0.253,0.811,1.526,-7.141,-1.831
0.502,0.255,0.805,1.648,-4.883,-1.831
0.490,0.258,0.805,1.404,-2.563,-1.465
0.484,0.259,0.812,1.221,-1.343,-0.610
0.486,0.262,0.812,0.671,-0.488,0.488
0.484,0.253,0.810,0.732,0.183,1.648
0.483,0.240,0.806,0.549,0.610,2.136
0.484,0.233,0.799,0.366,0.977,1.953
0.486,0.231,0.793,0.488,1.343,1.709
0.486,0.232,0.784,0.488,2.075,1.343
0.494,0.235,0.787,-0.610,2.625,0.977
0.499,0.245,0.802,-2.380,1.953,0.671
0.500,0.257,0.813,-3.845,0.732,0.427
0.500,0.268,0.818,-4.639,-0.183,0.305
0.496,0.273,0.822,-4.333,-0.061,0.305
0.494,0.272,0.813,-3.357,0.366,0.793
0.495,0.269,0.807,-1.648,0.977,1.282

0.307,0.216,-3.176,15.137,239.258,40.039
0.273,0.360,-3.692,0.244,297.729,42.664
0.341,0.485,-3.990,-36.072,369.507,57.007
0.606,0.710,-3.999,-94.910,456.909,77.454
0.946,0.964,-3.803,-163.940,547.485,99.243
1.397,1.188,-3.366,-230.530,632.874,117.249
1.868,1.376,-3.000,-288.086,709.656,128.601
2.417,1.473,-2.428,-351.746,771.912,135.559
3.240,1.439,-1.369,-433.044,829.529,135.071
3.889,1.586,0.133,-508.545,851.746,113.098
3.673,1.587,1.469,-549.988,779.358,60.120
3.655,1.599,2.352,-546.143,660.156,13.428
3.745,1.607,3.189,-503.540,562.134,-23.315
3.310,1.734,3.886,-415.894,486.450,-65.735
2.942,1.786,3.945,-229.736,429.932,-94.177
2.562,1.646,3.542,-37.292,402.527,-92.773
2.261,1.503,2.892,24.902,352.844,-57.739
2.165,1.270,2.691,19.165,281.128,-19.165
2.191,1.069,2.613,-14.954,205.933,11.902
2.085,0.923,2.978,-46.448,164.124,36.865
2.002,0.772,2.908,-63.110,161.194,42.053
1.910,0.595,2.786,-52.979,164.978,33.203
1.788,0.483,2.503,-13.672,168.274,26.428
1.642,0.344,2.298,12.878,165.222,22.217
1.422,0.232,2.103,21.057,157.837,19.592
