aX,aY,aZ,gX,gY,gZ
0.988,0.089,-0.176,-4.395,1.343,2.441

0.750,1.571,-0.738,-4.944,15.137,30.823
0.719,1.814,-0.892,-29.663,15.686,29.297
0.676,2.070,-1.051,-66.528,14.771,24.292
0.645,2.265,-1.167,-103.699,8.972,10.742
0.603,2.329,-1.189,-131.592,-5.127,-13.123
0.551,2.293,-1.067,-150.208,-29.968,-45.410
0.487,2.153,-0.845,-156.494,-61.279,-82.153
0.423,1.966,-0.549,-153.992,-92.224,-119.507
0.412,1.691,-0.193,-152.161,-115.845,-155.029
0.428,1.299,0.146,-155.334,-130.432,-192.993
0.388,0.760,0.544,-156.494,-139.038,-232.056
0.309,0.113,0.958,-142.456,-144.531,-266.113
0.249,-0.535,1.301,-115.906,-142.517,-289.307
0.196,-1.105,1.499,-77.576,-134.521,-296.875
0.196,-1.652,1.597,-39.185,-119.629,-286.011
0.255,-2.087,1.570,-28.870,-88.928,-259.338
0.299,-2.378,1.384,-43.091,-46.631,-219.238
0.345,-2.452,1.140,-65.613,-8.179,-166.870
0.370,-2.337,0.829,-93.018,14.038,-109.436
0.449,-2.074,0.593,-116.699,27.771,-56.824
0.526,-1.705,0.399,-131.165,29.968,-14.038
0.714,-1.323,0.338,-137.939,25.146,12.390
0.912,-1.123,0.413,-133.606,14.893,12.268
0.922,-1.259,0.573,-95.703,0.183,-18.799
0.831,-1.576,0.755,-22.583,-13.062,-67.566
0.719,-1.953,0.833,52.612,-24.170,-105.408
0.561,-2.350,0.753,108.032,-26.001,-119.812
0.435,-2.602,0.613,127.380,-17.151,-101.501
0.378,-2.643,0.417,113.770,-5.554,-53.528
0.442,-2.463,0.271,77.393,7.019,8.179
0.577,-2.174,0.174,32.043,16.602,68.115
0.636,-1.883,0.176,0.610,22.156,111.023
0.726,-1.614,0.279,-6.348,22.949,132.996
0.771,-1.419,0.390,12.817,21.423,136.963
0.786,-1.278,0.491,53.162,17.273,128.906
0.788,-1.190,0.557,94.666,11.536,118.713
0.776,-1.131,0.597,122.742,9.277,113.831
0.737,-1.064,0.590,135.925,10.315,117.065
0.679,-0.982,0.546,139.526,14.343,127.502
0.620,-0.848,0.497,138.855,19.043,144.836
0.590,-0.661,0.446,134.216,23.682,165.100
0.545,-0.438,0.395,126.709,25.879,186.157
0.488,-0.183,0.417,116.699,25.940,207.581
0.532,0.160,0.476,103.699,27.954,226.562
0.560,0.449,0.497,101.135,31.067,235.596
0.541,0.692,0.501,107.971,35.461,234.070
0.534,0.957,0.439,110.168,44.373,228.638
0.471,1.179,0.306,107.239,56.335,220.642
0.501,1.422,0.151,102.905,69.885,208.679
0.494,1.575,-0.108,99.854,80.750,191.467
0.422,1.621,-0.370,96.558,86.060,172.302
0.415,1.682,-0.587,77.698,86.060,160.400
0.432,1.692,-0.762,46.265,81.604,153.625
0.463,1.706,-0.851,14.404,74.829,145.996
0.547,1.768,-0.885,-7.751,65.430,133.545
0.636,1.797,-0.891,-6.165,49.622,110.107
0.733,1.775,-0.841,10.925,33.142,78.003
0.804,1.655,-0.757,30.945,17.944,41.260
0.863,1.463,-0.657,43.030,8.484,8.240
0.913,1.237,-0.575,47.180,2.563,-17.517
0.959,1.013,-0.499,48.096,-1.221,-35.950
1.000,0.795,-0.426,44.495,-2.075,-46.326
1.005,0.613,-0.375,36.743,-2.502,-50.537
1.002,0.475,-0.340,29.785,-3.418,-49.500
0.994,0.383,-0.305,25.269,-4.456,-43.945
1.000,0.330,-0.271,20.447,-6.042,-35.889
1.013,0.302,-0.198,13.489,-5.310,-28.137
1.003,0.281,-0.135,9.827,-2.991,-21.729
1.004,0.276,-0.077,10.315,-1.404,-16.846
0.993,0.294,-0.045,10.376,1.404,-14.648
0.981,0.307,-0.041,7.324,6.958,-12.085
0.958,0.324,-0.078,0.366,14.465,-10.254
0.923,0.351,-0.167,-4.395,20.996,-10.437
0.878,0.351,-0.270,-5.310,23.499,-11.292
0.859,0.376,-0.347,-8.301,21.484,-11.475
0.871,0.385,-0.423,-12.329,15.381,-12.085
0.898,0.360,-0.404,-12.878,5.432,-14.709
0.926,0.304,-0.330,-8.057,-4.028,-20.630
0.941,0.225,-0.211,0.061,-13.367,-27.527
0.953,0.139,-0.095,9.399,-18.860,-33.142
0.965,0.073,-0.019,16.846,-19.531,-36.072
0.969,0.013,0.002,19.165,-15.015,-36.011
0.962,-0.020,-0.022,14.282,-7.324,-31.494
0.953,-0.015,-0.097,5.188,-0.427,-24.231
0.937,0.013,-0.191,-1.831,3.723,-16.113
0.921,0.060,-0.275,-8.179,3.723,-7.935
0.927,0.126,-0.324,-16.235,0.671,-0.793
0.960,0.177,-0.311,-23.315,-3.174,3.906
0.977,0.193,-0.254,-23.621,-8.545,3.845
0.988,0.197,-0.177,-16.235,-14.709,-0.122
1.002,0.186,-0.091,-5.188,-19.043,-4.639
1.001,0.152,-0.022,4.944,-19.592,-10.559
0.998,0.115,0.010,10.254,-15.381,-14.893
0.987,0.081,-0.001,11.597,-9.521,-16.174
0.973,0.058,-0.064,10.742,-3.113,-14.771
0.957,0.051,-0.144,7.690,1.099,-11.230
0.952,0.072,-0.207,3.235,2.319,-6.104
0.958,0.100,-0.233,-0.916,1.465,-1.343
0.960,0.137,-0.229,-3.784,-0.854,2.502
0.962,0.170,-0.206,-4.944,-2.747,5.371
0.970,0.200,-0.183,-4.639,-3.967,6.775
0.969,0.224,-0.162,-2.808,-4.456,6.104
0.973,0.243,-0.146,0.366,-4.333,4.395
0.978,0.251,-0.144,3.296,-3.357,1.526
0.977,0.237,-0.151,5.127,-2.075,-1.465
0.968,0.208,-0.171,5.554,-0.732,-3.174
0.965,0.192,-0.199,4.211,0.549,-2.991
0.959,0.187,-0.224,2.197,0.549,-2.075
0.961,0.187,-0.235,-0.122,0.183,-0.610
0.960,0.190,-0.233,-2.258,-0.793,1.160
0.960,0.211,-0.230,-3.906,-2.014,2.625
0.964,0.224,-0.224,-4.822,-2.991,3.479
0.975,0.231,-0.206,-5.188,-3.601,3.296
0.983,0.231,-0.176,-3.601,-4.578,1.404
0.986,0.217,-0.151,0.671,-5.066,-1.465
0.987,0.200,-0.143,3.479,-4.333,-3.418
0.981,0.183,-0.155,2.930,-3.235,-4.456
0.977,0.172,-0.167,1.526,-2.686,-4.272
0.980,0.168,-0.170,0.488,-2.502,-2.991

0.852,1.339,-0.286,-68.542,-50.049,-21.301
0.880,1.352,-0.148,-61.646,-56.152,-41.382
0.891,1.342,-0.022,-59.387,-58.105,-60.547
0.884,1.302,0.073,-62.500,-57.434,-77.087
0.887,1.240,0.142,-72.693,-55.298,-88.928
0.903,1.169,0.214,-87.341,-52.063,-97.595
0.900,1.087,0.300,-101.135,-48.950,-106.323
0.888,0.987,0.379,-111.084,-45.654,-115.540
0.870,0.853,0.447,-117.676,-42.175,-126.221
