-0.205,0.155,2.631,5.005,44.678,21.057
-0.139,0.167,2.900,-15.137,19.531,30.518
-0.095,0.111,3.037,-28.137,-12.146,40.833
-0.043,-0.011,3.004,-30.090,-48.096,48.218
0.022,-0.139,2.827,-21.484,-84.290,48.767
0.107,-0.230,2.592,-5.798,-115.356,41.870
0.176,-0.271,2.366,13.489,-136.963,29.724
0.222,-0.286,2.161,35.095,-150.024,15.808
0.264,-0.305,1.983,52.734,-158.203,3.235
0.302,-0.334,1.830,60.486,-166.077,-6.775
0.337,-0.346,1.698,56.946,-177.368,-16.785
0.363,-0.335,1.582,45.227,-192.932,-26.855
0.383,-0.296,1.468,29.358,-212.524,-36.682
0.402,-0.231,1.342,13.367,-234.192,-45.654
0.428,-0.170,1.173,0.244,-254.700,-53.162
0.444,-0.116,0.972,-10.132,-271.362,-60.242
0.452,-0.054,0.750,-19.409,-283.630,-67.017
0.444,0.016,0.529,-28.503,-291.687,-71.716
0.429,0.087,0.300,-37.354,-294.922,-73.425
0.415,0.169,0.052,-46.936,-294.312,-71.655
0.388,0.234,-0.210,-58.777,-290.894,-66.528
0.356,0.272,-0.489,-71.838,-282.654,-57.678
0.297,0.278,-0.763,-85.999,-269.775,-45.715
0.260,0.243,-1.047,-100.403,-255.737,-30.640
0.240,0.176,-1.267,-111.206,-228.943,-15.625
0.241,0.107,-1.416,-114.197,-198.914,0.061
0.269,0.040,-1.495,-109.436,-168.518,17.090
0.322,-0.051,-1.529,-96.863,-133.484,33.203
0.369,-0.172,-1.537,-78.308,-93.079,45.532
0.412,-0.306,-1.533,-55.969,-47.241,53.467
0.451,-0.439,-1.517,-33.936,-0.854,54.565
0.473,-0.551,-1.471,-16.724,43.396,47.241
0.471,-0.614,-1.388,-6.775,83.191,31.372
0.450,-0.624,-1.260,-3.906,118.469,8.850
0.398,-0.580,-1.087,-4.822,151.306,-16.296
0.335,-0.490,-0.889,-4.150,182.922,-41.077
0.281,-0.328,-0.625,2.319,213.867,-60.913
0.210,-0.136,-0.324,16.724,244.141,-72.693
0.166,0.048,0.010,33.997,272.156,-73.120
0.140,0.165,0.335,45.166,292.969,-63.538
0.115,0.175,0.611,45.532,303.162,-49.988
0.146,0.139,0.882,36.865,302.185,-38.086
0.189,0.161,1.237,25.513,292.847,-32.288
0.214,0.200,1.616,22.583,281.677,-31.738
0.185,0.220,1.946,34.668,275.513,-33.142
0.156,0.215,2.151,57.190,272.766,-35.156
0.147,0.181,2.244,72.449,265.869,-37.537
0.126,0.146,2.281,67.688,248.291,-40.771
0.092,0.182,2.369,46.326,221.680,-44.861
0.036,0.255,2.480,22.522,193.054,-46.631
-0.041,0.324,2.554,6.042,167.969,-42.725
-0.112,0.337,2.536,-1.160,145.386,-33.142
-0.153,0.336,2.448,-0.244,125.122,-19.714
-0.166,0.260,2.289,7.263,102.966,-3.540
-0.164,0.199,2.106,17.639,96.436,6.653
-0.155,0.153,1.939,29.175,98.267,14.221
-0.150,0.134,1.878,37.476,87.891,20.264
-0.099,0.099,1.900,44.434,69.580,24.597
-0.083,0.035,1.871,48.218,41.565,25.757
-0.070,-0.005,1.750,44.067,27.466,23.315
-0.046,-0.052,1.590,35.217,19.531,16.907
-0.056,-0.068,1.463,18.616,5.920,7.996
-0.082,-0.067,1.371,-1.526,-0.366,0.366
-0.106,-0.023,1.284,-19.897,-5.859,-5.493
-0.102,0.052,1.206,-32.593,-7.202,-7.385
-0.113,0.004,1.289,-36.011,-16.296,-6.653
-0.144,0.059,1.247,-35.156,-23.254,-13.489
-0.132,0.119,1.201,-31.494,-6.042,-14.771
-0.145,0.199,1.169,-25.269,-6.348,-16.113
-0.146,0.234,1.149,-20.386,-6.775,-15.930
-0.140,0.260,1.114,-15.991,-3.113,-14.587
-0.125,0.270,1.089,-14.648,-4.272,-10.071
-0.106,0.247,1.068,-13.794,-7.690,-5.371
-0.079,0.215,1.047,-12.939,-10.681,-0.488
-0.049,0.179,1.027,-12.451,-13.306,4.883
-0.026,0.136,1.009,-12.146,-14.343,8.240
-0.006,0.098,1.002,-11.841,-15.137,10.010
0.006,0.069,0.998,-11.108,-15.381,10.315
0.017,0.052,0.989,-9.888,-14.832,9.277
0.025,0.045,0.979,-8.240,-13.672,7.568
0.025,0.043,0.969,-6.348,-12.207,5.676
0.024,0.041,0.956,-3.967,-10.559,4.333
0.023,0.041,0.947,-1.953,-8.728,3.357
0.020,0.042,0.941,-0.183,-7.568,2.686
0.017,0.042,0.931,0.977,-6.958,2.380
0.013,0.040,0.925,1.526,-6.592,2.380
0.009,0.036,0.920,1.709,-6.897,2.136
0.002,0.031,0.920,1.465,-7.385,1.892
0.000,0.028,0.924,1.282,-7.996,1.587
-0.002,0.024,0.925,0.977,-8.545,1.038
-0.005,0.023,0.928,0.610,-9.033,0.549
-0.009,0.025,0.931,0.366,-9.094,0.427
-0.011,0.028,0.936,0.977,-8.789,0.549
-0.011,0.028,0.936,2.136,-7.690,0.793
-0.010,0.025,0.936,3.540,-6.592,1.282
-0.011,0.021,0.934,4.272,-5.188,1.892
-0.008,0.016,0.932,4.578,-3.845,2.197
-0.006,0.011,0.932,4.456,-2.625,2.319
-0.006,0.010,0.939,3.845,-1.770,2.258
-0.012,0.013,0.943,2.625,-1.404,1.770
-0.016,0.021,0.947,1.648,-1.404,1.343
-0.021,0.027,0.951,1.221,-1.587,1.343
-0.024,0.031,0.951,1.526,-1.709,1.404
-0.030,0.032,0.953,1.953,-1.587,1.770
-0.035,0.034,0.957,2.502,-1.648,1.831
-0.038,0.037,0.954,2.747,-2.319,1.709
-0.039,0.039,0.946,2.380,-3.113,1.404
-0.044,0.046,0.942,1.892,-3.967,0.793
-0.048,0.055,0.938,1.404,-4.395,0.244
-0.052,0.062,0.939,1.282,-4.456,0.122
-0.053,0.061,0.933,1.282,-3.784,0.366
-0.055,0.057,0.927,1.099,-3.418,0.610
-0.052,0.053,0.928,0.488,-2.991,1.038
-0.049,0.055,0.937,-0.244,-2.441,1.160
-0.047,0.056,0.950,-0.488,-1.709,1.343
-0.045,0.054,0.960,-0.244,-0.793,1.465
-0.043,0.051,0.966,0.488,-0.183,1.221
-0.040,0.050,0.973,0.977,0.366,0.854
-0.040,0.049,0.980,1.282,0.732,0.488
#
-0.302,0.289,2.472,22.461,42.969,30.762
-0.239,0.282,2.695,32.776,34.729,43.335
-0.151,0.197,2.828,46.814,21.912,57.434
-0.049,0.036,2.841,59.875,3.235,69.214
0.072,-0.157,2.758,65.796,-21.790,73.914
0.172,-0.342,2.630,60.242,-53.467,70.190
0.249,-0.464,2.494,45.715,-89.600,57.068
0.310,-0.511,2.358,30.212,-125.977,38.513
0.350,-0.522,2.203,19.531,-157.471,19.043
0.389,-0.496,2.032,15.869,-182.800,-0.061
0.418,-0.438,1.872,18.250,-200.256,-17.395
0.435,-0.374,1.713,23.804,-211.121,-33.081
0.450,-0.295,1.561,29.175,-219.360,-46.387
0.463,-0.203,1.411,31.250,-227.661,-57.983
0.473,-0.103,1.268,28.259,-237.610,-67.139
0.476,-0.009,1.115,21.057,-248.718,-72.510
0.479,0.073,0.934,11.597,-258.911,-74.280
0.474,0.141,0.716,0.061,-267.456,-72.876
0.462,0.200,0.476,-13.489,-272.827,-69.275
0.442,0.252,0.256,-29.663,-274.048,-63.416
0.419,0.287,0.056,-46.814,-270.813,-55.725
0.408,0.302,-0.114,-61.584,-264.954,-46.692
0.396,0.286,-0.288,-70.984,-257.080,-36.804
0.390,0.248,-0.505,-72.998,-247.253,-27.649
0.368,0.206,-0.714,-69.519,-236.511,-19.287
0.391,0.131,-0.966,-63.110,-221.375,-12.390
0.393,0.064,-1.196,-55.237,-198.486,-9.216
0.393,0.033,-1.385,-46.875,-176.025,-5.432
0.394,0.013,-1.534,-38.330,-148.682,-0.488
0.392,-0.031,-1.642,-29.114,-113.770,4.578
0.377,-0.098,-1.697,-21.667,-72.266,9.094
0.356,-0.169,-1.697,-17.090,-27.710,12.207
0.318,-0.233,-1.620,-16.174,15.076,12.146
0.284,-0.277,-1.496,-17.090,54.626,8.118
0.253,-0.294,-1.341,-18.311,90.149,1.160
0.219,-0.262,-1.139,-19.958,121.826,-7.202
0.174,-0.184,-0.887,-18.921,151.550,-15.503
0.154,-0.069,-0.605,-10.071,181.580,-19.836
0.133,0.033,-0.342,8.728,212.891,-18.555
0.114,0.112,-0.093,32.776,243.042,-11.780
0.110,0.156,0.143,55.786,266.663,-0.183
0.122,0.147,0.348,74.158,284.119,14.526
0.156,0.082,0.527,83.374,295.959,27.771
0.175,-0.016,0.684,76.416,299.133,34.363
0.195,-0.089,0.862,47.974,287.842,32.776
0.213,-0.102,1.098,6.775,263.916,25.085
0.230,-0.078,1.371,-31.738,237.976,14.954
0.225,-0.056,1.612,-58.899,216.248,4.761
0.201,-0.038,1.793,-72.754,198.425,-4.395
0.179,-0.009,1.925,-74.402,183.044,-12.634
0.146,0.033,2.035,-65.674,172.119,-20.203
0.103,0.084,2.126,-49.683,165.405,-26.917
0.048,0.132,2.197,-28.137,162.659,-31.006
-0.010,0.157,2.251,-2.563,163.269,-31.921
-0.049,0.205,2.295,25.818,166.748,-30.029
-0.088,0.180,2.271,53.650,162.354,-23.010
-0.088,0.154,2.174,71.228,163.635,-19.104
-0.076,0.114,2.047,75.378,171.448,-15.564
-0.085,0.118,2.004,61.890,155.518,-10.254
-0.117,0.107,2.050,33.691,116.333,-1.953
-0.123,0.081,2.084,0.549,62.683,5.981
-0.124,0.047,2.015,-30.701,18.555,8.118
-0.119,0.035,1.922,-54.016,-6.958,3.784
-0.109,0.069,1.845,-62.622,-20.264,-1.160
-0.134,0.115,1.733,-55.298,-16.907,-5.493
-0.182,0.131,1.729,-35.889,-5.859,-4.944
-0.180,0.170,1.696,-12.695,-1.038,-1.343
-0.159,0.071,1.634,7.385,20.447,0.854
-0.127,0.033,1.552,18.799,14.526,-2.747
-0.151,0.072,1.500,15.686,17.761,-4.089
-0.123,0.090,1.430,9.033,13.977,-5.554
-0.140,0.122,1.399,-2.563,-4.028,-7.019
-0.120,0.121,1.361,-12.695,-14.099,-6.775
-0.111,0.120,1.316,-19.958,-26.062,-6.226
-0.092,0.115,1.262,-24.231,-36.316,-6.042
-0.078,0.112,1.205,-24.414,-40.039,-7.385
-0.068,0.114,1.156,-21.790,-40.771,-8.179
-0.058,0.121,1.117,-17.090,-38.818,-8.789
-0.053,0.131,1.081,-11.719,-34.851,-8.911
-0.042,0.139,1.046,-7.202,-31.189,-7.568
-0.035,0.144,1.013,-4.395,-28.320,-5.676
-0.021,0.144,0.981,-3.235,-26.306,-3.357
-0.006,0.136,0.959,-3.479,-25.391,-0.977
0.000,0.132,0.937,-4.944,-25.574,1.038
0.009,0.124,0.922,-6.531,-24.658,3.418
0.012,0.118,0.907,-7.324,-24.109,5.188
0.016,0.105,0.895,-7.324,-23.499,7.202
0.018,0.086,0.881,-6.714,-22.644,8.667
0.019,0.068,0.869,-5.798,-22.095,8.789
0.018,0.052,0.861,-4.211,-21.423,8.118
0.016,0.040,0.854,-2.136,-20.447,6.836
0.013,0.033,0.855,0.244,-18.921,5.188
0.007,0.037,0.860,1.831,-17.761,2.991
0.001,0.044,0.861,2.197,-17.212,1.709
-0.004,0.049,0.865,1.587,-17.090,1.099
-0.009,0.052,0.868,0.732,-16.724,0.793
-0.018,0.051,0.874,0.061,-16.052,0.793
-0.023,0.052,0.883,-0.427,-15.381,1.038
-0.028,0.047,0.885,-0.793,-14.099,1.160
-0.034,0.044,0.887,-0.793,-12.451,1.160
-0.042,0.044,0.891,-0.244,-10.742,0.916
-0.049,0.049,0.894,0.732,-8.972,0.610
-0.058,0.054,0.898,1.648,-7.202,0.549
-0.061,0.062,0.903,2.991,-5.615,0.916
-0.058,0.068,0.908,4.028,-4.150,2.075
-0.055,0.069,0.913,4.517,-2.991,3.357
-0.049,0.059,0.919,4.517,-2.380,4.761
-0.045,0.049,0.922,3.113,-2.747,5.798
-0.043,0.042,0.924,1.465,-3.601,5.920
-0.045,0.039,0.930,-0.427,-4.517,5.249
-0.050,0.040,0.933,-1.282,-5.127,4.150
-0.055,0.044,0.934,-0.977,-5.188,3.052
-0.062,0.051,0.931,-0.305,-4.761,1.892
-0.065,0.057,0.927,0.916,-4.150,0.916
-0.069,0.062,0.928,1.831,-3.357,0.183
-0.072,0.066,0.931,2.258,-2.502,0.061
-0.073,0.068,0.935,2.075,-2.319,-0.183
-0.076,0.065,0.936,1.343,-2.380,0.000
-0.077,0.065,0.940,0.000,-2.563,0.061
#
-0.408,0.131,2.274,32.837,28.809,40.527
-0.367,0.107,2.431,38.269,18.738,47.241
-0.325,0.050,2.533,39.978,2.686,51.697
