0.293,0.635,-1.775,37.842,161.255,-27.405
0.401,0.739,-1.595,36.438,222.534,-13.123
0.534,0.753,-1.327,42.908,273.682,8.301
0.671,0.666,-1.045,53.467,315.674,36.987
0.804,0.428,-0.694,67.444,343.994,65.979
1.024,0.383,-0.548,83.008,365.173,91.248
1.218,0.200,-0.172,87.769,407.532,129.150
1.462,-0.167,0.501,73.853,439.392,152.954
1.592,-0.419,1.123,40.588,468.994,164.124
1.687,-0.523,1.627,-3.723,490.723,165.283
1.777,-0.565,2.018,-40.344,491.943,157.654
1.802,-0.624,2.363,-63.354,478.821,146.301
1.749,-0.721,2.675,-76.538,455.200,130.615
1.662,-0.752,2.859,-84.717,420.715,106.750
1.597,-0.676,2.903,-79.651,377.319,74.463
1.585,-0.579,2.914,-49.927,325.623,40.161
1.575,-0.482,2.982,-0.793,270.264,12.329
1.498,-0.467,3.078,52.002,217.224,-5.554
1.424,-0.486,3.186,87.952,166.260,-19.287
1.366,-0.463,3.228,92.041,121.521,-28.137
1.320,-0.376,3.172,69.397,88.013,-30.823
1.281,-0.283,3.060,33.264,61.157,-27.771
1.238,-0.233,2.926,-2.136,36.987,-19.470
1.186,-0.224,2.786,-31.311,16.418,-9.094
1.145,-0.245,2.667,-50.537,-1.831,-0.549
1.117,-0.265,2.575,-59.753,-19.958,4.517
1.104,-0.265,2.490,-59.814,-39.185,5.005
1.104,-0.258,2.401,-49.683,-61.584,1.831
1.107,-0.286,2.335,-31.555,-86.121,-2.258
1.104,-0.347,2.290,-12.085,-110.657,-6.592
1.103,-0.399,2.226,2.502,-133.423,-12.756
1.108,-0.424,2.152,10.254,-153.809,-19.775
1.106,-0.436,2.062,12.207,-172.058,-25.879
1.100,-0.450,1.961,10.193,-189.697,-31.677
1.079,-0.439,1.823,4.944,-206.665,-36.072
1.058,-0.397,1.651,-0.977,-221.985,-39.307
1.033,-0.357,1.468,-5.188,-235.657,-41.077
1.002,-0.362,1.339,-6.104,-247.131,-42.358
0.949,-0.377,1.224,-4.456,-257.141,-45.715
0.891,-0.417,1.150,-1.648,-264.832,-52.734
0.838,-0.472,1.108,2.075,-274.597,-64.636
0.806,-0.431,1.040,8.179,-287.292,-82.153
0.785,-0.307,0.915,20.996,-304.077,-115.845
0.760,0.011,0.572,59.021,-334.656,-122.742
0.698,0.109,0.432,74.402,-337.708,-120.728
0.620,0.159,0.307,77.332,-329.956,-111.938
0.532,0.184,0.184,65.308,-312.439,-100.464
0.440,0.204,0.055,40.833,-285.522,-87.402
0.341,0.230,-0.073,9.521,-252.136,-73.853
0.257,0.268,-0.196,-21.240,-215.820,-60.974
0.176,0.275,-0.250,-45.349,-179.993,-49.438
0.106,0.273,-0.244,-59.875,-149.414,-40.161
0.060,0.310,-0.228,-64.575,-126.953,-34.546
0.022,0.357,-0.220,-59.082,-112.854,-29.175
-0.023,0.369,-0.205,-45.654,-104.431,-21.057
-0.069,0.315,-0.148,-29.480,-97.656,-11.230
-0.138,0.235,-0.066,-17.944,-89.233,-2.747
-0.201,0.185,-0.009,-14.648,-63.782,6.958
-0.300,0.146,0.070,-20.203,-55.786,10.193
-0.337,0.113,0.132,-25.146,-43.762,12.939
-0.360,0.095,0.185,-30.518,-31.982,14.099
-0.364,0.100,0.222,-34.302,-20.386,14.587
-0.362,0.106,0.279,-34.302,-10.803,15.564
-0.365,0.102,0.356,-30.579,-4.150,17.212
-0.371,0.090,0.426,-25.452,-0.916,18.860
-0.382,0.064,0.483,-19.226,-0.183,19.836
-0.394,0.021,0.537,-12.512,-0.610,20.142
-0.410,-0.023,0.596,-6.958,-0.427,18.921
-0.417,-0.043,0.632,-4.578,0.549,16.052
-0.414,-0.037,0.660,-4.395,2.136,12.268
-0.407,-0.022,0.678,-4.395,4.395,9.705
-0.404,-0.016,0.713,-4.517,7.385,9.216
-0.401,-0.020,0.748,-5.066,9.460,9.705
-0.406,-0.030,0.770,-5.981,11.047,10.925
-0.411,-0.042,0.789,-6.775,12.451,11.902
-0.417,-0.054,0.813,-6.714,13.428,12.207
-0.417,-0.061,0.842,-6.714,14.526,11.780
-0.415,-0.065,0.876,-6.775,14.954,11.047
-0.417,-0.073,0.902,-7.507,14.404,10.315
-0.419,-0.081,0.912,-8.667,13.184,9.583
-0.420,-0.084,0.905,-9.399,11.169,8.667
-0.426,-0.087,0.900,-8.179,9.216,8.057
-0.434,-0.093,0.897,-5.859,7.263,7.446
-0.442,-0.095,0.892,-4.272,5.981,7.141
-0.446,-0.098,0.886,-3.845,5.066,7.019
-0.450,-0.103,0.882,-3.845,4.761,6.836
-0.453,-0.106,0.878,-4.639,4.944,6.714
-0.456,-0.107,0.875,-5.432,5.554,6.165
-0.456,-0.107,0.882,-5.615,5.920,5.310
-0.458,-0.104,0.889,-5.493,6.104,4.639
-0.456,-0.102,0.890,-4.883,5.493,3.906
-0.455,-0.105,0.889,-3.601,4.333,3.418
-0.453,-0.110,0.894,-2.197,3.723,3.052
-0.447,-0.108,0.900,-1.282,2.991,2.502
-0.445,-0.103,0.904,-0.732,2.747,2.136
-0.444,-0.103,0.908,-0.366,2.380,2.136
-0.442,-0.105,0.914,0.000,1.831,1.831
-0.438,-0.102,0.919,0.610,1.221,1.221
-0.436,-0.093,0.919,1.221,0.732,0.427
-0.433,-0.085,0.919,1.648,0.000,0.244
-0.433,-0.085,0.921,1.953,-0.305,0.366
-0.435,-0.085,0.922,1.648,-0.366,0.671
-0.433,-0.076,0.923,0.305,-0.366,1.099
-0.431,-0.076,0.924,0.793,-0.916,1.099
-0.432,-0.075,0.922,1.526,-1.526,1.099
-0.430,-0.073,0.913,2.380,-2.319,0.977
-0.434,-0.069,0.901,3.113,-3.174,0.671
-0.440,-0.068,0.889,3.601,-3.906,0.732
-0.444,-0.070,0.878,3.906,-4.272,0.793
-0.445,-0.068,0.870,3.845,-4.028,0.488
-0.443,-0.066,0.868,3.174,-3.540,0.183
-0.439,-0.071,0.871,2.319,-2.930,0.305
-0.438,-0.082,0.878,1.526,-2.502,0.305
-0.434,-0.084,0.882,0.793,-2.258,-0.305
-0.430,-0.079,0.882,0.549,-2.441,-1.221
-0.425,-0.067,0.879,0.916,-3.235,-1.587
-0.422,-0.055,0.876,1.831,-4.089,-1.892
-0.421,-0.046,0.872,2.747,-5.188,-1.282
-0.427,-0.047,0.851,3.357,-5.432,-0.366
#
0.326,0.621,-1.777,-0.977,192.261,-1.953
0.431,0.735,-1.600,-13.916,253.967,8.545
0.546,0.817,-1.401,-17.944,302.673,23.865
0.664,0.810,-1.162,-4.456,338.196,44.678
0.920,0.722,-0.944,21.301,362.366,70.923
0.919,0.439,-0.298,46.265,375.732,95.215
1.145,0.254,-0.223,56.274,397.095,119.202
1.240,0.038,0.157,42.236,444.824,152.222
1.443,-0.211,0.679,16.357,466.309,162.537
1.637,-0.352,1.199,-6.531,481.384,158.752
1.655,-0.568,1.811,-22.766,488.403,153.992
1.606,-0.803,2.276,-31.982,468.445,138.672
1.598,-0.871,2.497,-34.302,428.955,104.553
1.591,-0.765,2.580,-17.700,381.409,61.279
1.625,-0.614,2.650,24.841,325.500,20.874
1.636,-0.558,2.786,83.435,267.944,-5.432
1.593,-0.601,2.973,132.751,217.407,-16.602
1.516,-0.702,3.128,150.208,178.528,-17.395
1.447,-0.736,3.202,129.578,153.503,-12.878
1.342,-0.747,3.203,82.703,139.893,-5.737
1.246,-0.733,3.176,27.344,127.563,-1.892
1.194,-0.670,3.098,-17.639,106.201,-0.305
1.157,-0.591,2.956,-41.565,78.918,0.854
1.119,-0.532,2.824,-46.631,49.438,0.916
1.076,-0.500,2.708,-40.039,19.348,-0.488
1.034,-0.484,2.606,-30.457,-7.019,-2.380
0.998,-0.475,2.498,-22.827,-30.762,-4.089
0.966,-0.479,2.391,-17.578,-51.208,-4.761
0.952,-0.512,2.319,-13.550,-68.420,-5.432
0.941,-0.559,2.266,-11.597,-83.435,-6.592
0.936,-0.598,2.208,-11.841,-97.473,-9.521
0.948,-0.626,2.134,-12.085,-125.732,-20.081
0.994,-0.592,1.978,-11.414,-139.465,-26.917
0.998,-0.533,1.877,-8.484,-153.687,-33.569
0.993,-0.478,1.763,-4.456,-169.556,-39.124
0.986,-0.433,1.640,-0.732,-184.998,-42.969
0.966,-0.387,1.511,2.380,-198.792,-45.837
0.944,-0.339,1.390,5.554,-210.999,-48.828
0.921,-0.292,1.264,9.705,-222.046,-52.307
0.910,-0.256,1.181,14.832,-231.567,-56.274
0.885,-0.237,1.107,18.799,-238.464,-59.082
0.858,-0.198,1.021,20.020,-242.981,-62.439
0.827,-0.179,0.936,20.264,-246.582,-65.430
0.796,-0.197,0.874,18.738,-247.925,-67.688
0.749,-0.182,0.791,14.160,-246.338,-70.435
0.702,-0.120,0.678,7.996,-242.981,-73.242
0.638,-0.063,0.555,2.991,-239.197,-74.158
0.575,-0.029,0.441,-0.244,-234.375,-72.449
0.501,0.004,0.325,-8.362,-216.309,-66.772
0.369,0.072,0.190,-12.573,-205.444,-64.819
0.304,0.110,0.152,-16.968,-195.068,-63.232
0.250,0.135,0.117,-20.935,-186.401,-61.279
0.205,0.184,0.069,-23.437,-179.321,-59.265
0.161,0.242,0.011,-22.034,-172.852,-56.458
0.111,0.286,-0.046,-17.273,-166.565,-51.636
0.059,0.293,-0.075,-10.803,-158.875,-45.288
0.011,0.263,-0.078,-7.446,-148.315,-38.513
-0.032,0.260,-0.078,-9.399,-133.362,-32.471
-0.081,0.281,-0.083,-15.198,-115.906,-26.306
-0.131,0.278,-0.048,-21.423,-98.694,-18.616
-0.192,0.232,0.009,-27.588,-83.496,-10.681
-0.231,0.208,0.043,-34.546,-70.374,-5.737
-0.254,0.225,0.052,-40.161,-59.387,-3.113
-0.276,0.257,0.052,-41.382,-50.110,-0.671
-0.297,0.259,0.077,-21.179,-38.086,7.385
-0.351,0.178,0.189,-18.127,-34.241,10.254
-0.385,0.117,0.254,-9.766,-30.518,11.963
-0.415,0.049,0.318,-4.944,-26.123,12.268
-0.448,-0.003,0.376,-4.333,-20.081,11.597
-0.474,-0.024,0.424,-6.836,-12.817,9.521
-0.489,-0.020,0.463,-10.437,-5.066,7.507
-0.495,-0.013,0.513,-13.611,1.343,6.470
-0.497,-0.006,0.566,-15.137,6.042,7.019
-0.498,-0.006,0.611,-15.076,9.155,8.728
-0.499,-0.022,0.655,-13.733,10.437,10.620
-0.500,-0.047,0.702,-13.000,11.230,12.512
-0.507,-0.072,0.727,-13.184,12.268,13.428
-0.509,-0.086,0.738,-13.855,13.794,12.756
-0.509,-0.091,0.759,-14.404,15.381,11.780
-0.501,-0.094,0.794,-13.611,17.273,11.169
-0.496,-0.096,0.837,-12.329,18.677,10.986
-0.487,-0.096,0.871,-11.292,19.165,10.925
-0.484,-0.097,0.892,-9.766,18.616,11.353
-0.484,-0.101,0.906,-7.751,17.700,11.719
-0.478,-0.103,0.918,-6.042,16.602,11.353
-0.476,-0.107,0.934,-4.456,15.564,10.559
-0.477,-0.114,0.951,-3.418,14.587,9.888
-0.478,-0.117,0.960,-3.540,13.855,9.033
-0.478,-0.117,0.959,-3.845,12.939,7.629
-0.495,-0.126,0.962,-3.601,11.658,7.385
-0.496,-0.127,0.960,-2.991,10.742,6.775
-0.496,-0.123,0.955,-2.075,9.705,6.042
-0.495,-0.123,0.955,-0.977,9.033,5.249
-0.489,-0.122,0.955,0.000,7.935,4.456
-0.484,-0.117,0.955,0.549,6.470,3.479
-0.475,-0.119,0.954,0.916,5.005,2.930
-0.467,-0.125,0.956,0.854,3.479,2.502
-0.461,-0.128,0.954,0.732,2.380,2.258
-0.455,-0.126,0.949,0.366,1.404,1.648
-0.452,-0.119,0.941,0.122,0.732,1.221
-0.453,-0.112,0.937,0.061,0.122,0.916
-0.453,-0.110,0.930,0.244,-0.610,0.671
-0.454,-0.111,0.924,0.366,-1.038,0.305
-0.452,-0.104,0.919,0.244,-1.343,-0.244
-0.445,-0.095,0.911,0.244,-1.709,-0.977
-0.436,-0.084,0.905,0.610,-2.136,-1.343
-0.430,-0.082,0.902,1.282,-2.502,-1.282
-0.426,-0.081,0.897,1.526,-3.052,-0.977
-0.424,-0.080,0.892,1.404,-3.357,-0.671
-0.422,-0.076,0.888,1.038,-3.418,-0.610
-0.422,-0.070,0.882,0.854,-3.540,-0.122
-0.430,-0.062,0.867,1.282,-4.150,0.366
-0.438,-0.070,0.862,1.465,-4.639,1.160
-0.448,-0.076,0.852,1.770,-4.517,1.221
-0.450,-0.075,0.841,1.587,-4.333,0.488
-0.452,-0.070,0.837,1.770,-4.028,0.000
-0.448,-0.068,0.840,2.136,-3.540,-0.244
-0.446,-0.068,0.844,2.563,-3.052,-0.244
-0.445,-0.069,0.850,2.197,-2.686,-0.122
#
1.504,-0.280,1.389,78.918,374.817,118.835
1.508,-0.569,1.672,110.596,346.619,116.638
1.518,-0.821,1.936,120.667,324.402,108.459
1.529,-0.911,2.191,106.812,313.232,93.079
1.539,-0.828,2.390,76.843,307.556,75.928
1.540,-0.678,2.536,44.373,299.805,63.477
1.496,-0.588,2.680,20.630,286.194,59.143
1.417,-0.590,2.792,6.104,265.564,59.204
1.370,-0.625,2.872,-1.953,239.014,59.021
1.271,-0.727,2.949,-5.859,213.135,57.190
1.161,-0.849,3.026,-9.888,184.387,49.805
1.075,-0.910,3.077,-15.320,151.855,37.292
1.021,-0.882,3.070,-20.386,118.347,23.499
0.981,-0.818,3.022,-22.461,84.839,11.719
0.942,-0.760,2.958,-20.996,50.537,2.075
0.920,-0.726,2.875,-20.630,18.982,-4.395
