aX,aY,aZ,gX,gY,gZ
0.293,0.635,-1.775,37.842,161.255,-27.405
0.401,0.739,-1.595,36.438,222.534,-13.123
0.534,0.753,-1.327,42.908,273.682,8.301
0.671,0.666,-1.045,53.467,315.674,36.987
0.804,0.428,-0.694,67.444,343.994,65.979
1.024,0.383,-0.548,83.008,365.173,91.248
1.218,0.200,-0.172,87.769,407.532,129.150
1.462,-0.167,0.501,73.853,439.392,152.954
1.592,-0.419,1.123,40.588,468.994,164.124
1.687,-0.523,1.627,-3.723,490.723,165.283
1.777,-0.565,2.018,-40.344,491.943,157.654
1.802,-0.624,2.363,-63.354,478.821,146.301
1.749,-0.721,2.675,-76.538,455.200,130.615
1.662,-0.752,2.859,-84.717,420.715,106.750
1.597,-0.676,2.903,-79.651,377.319,74.463
1.585,-0.579,2.914,-49.927,325.623,40.161
1.575,-0.482,2.982,-0.793,270.264,12.329
1.498,-0.467,3.078,52.002,217.224,-5.554
1.424,-0.486,3.186,87.952,166.260,-19.287
1.366,-0.463,3.228,92.041,121.521,-28.137
1.320,-0.376,3.172,69.397,88.013,-30.823
1.281,-0.283,3.060,33.264,61.157,-27.771
1.238,-0.233,2.926,-2.136,36.987,-19.470
1.186,-0.224,2.786,-31.311,16.418,-9.094
1.145,-0.245,2.667,-50.537,-1.831,-0.549
1.117,-0.265,2.575,-59.753,-19.958,4.517
1.104,-0.265,2.490,-59.814,-39.185,5.005
1.104,-0.258,2.401,-49.683,-61.584,1.831
1.107,-0.286,2.335,-31.555,-86.121,-2.258
1.104,-0.347,2.290,-12.085,-110.657,-6.592
1.103,-0.399,2.226,2.502,-133.423,-12.756
1.108,-0.424,2.152,10.254,-153.809,-19.775
1.106,-0.436,2.062,12.207,-172.058,-25.879
1.100,-0.450,1.961,10.193,-189.697,-31.677
1.079,-0.439,1.823,4.944,-206.665,-36.072
1.058,-0.397,1.651,-0.977,-221.985,-39.307
1.033,-0.357,1.468,-5.188,-235.657,-41.077
1.002,-0.362,1.339,-6.104,-247.131,-42.358
0.949,-0.377,1.224,-4.456,-257.141,-45.715
0.891,-0.417,1.150,-1.648,-264.832,-52.734
0.838,-0.472,1.108,2.075,-274.597,-64.636
0.806,-0.431,1.040,8.179,-287.292,-82.153
0.785,-0.307,0.915,20.996,-304.077,-115.845
0.760,0.011,0.572,59.021,-334.656,-122.742
0.698,0.109,0.432,74.402,-337.708,-120.728
0.620,0.159,0.307,77.332,-329.956,-111.938
0.532,0.184,0.184,65.308,-312.439,-100.464
0.440,0.204,0.055,40.833,-285.522,-87.402
0.341,0.230,-0.073,9.521,-252.136,-73.853
0.257,0.268,-0.196,-21.240,-215.820,-60.974
0.176,0.275,-0.250,-45.349,-179.993,-49.438
0.106,0.273,-0.244,-59.875,-149.414,-40.161
0.060,0.310,-0.228,-64.575,-126.953,-34.546
0.022,0.357,-0.220,-59.082,-112.854,-29.175
-0.023,0.369,-0.205,-45.654,-104.431,-21.057
-0.069,0.315,-0.148,-29.480,-97.656,-11.230
-0.138,0.235,-0.066,-17.944,-89.233,-2.747
-0.201,0.185,-0.009,-14.648,-63.782,6.958
-0.300,0.146,0.070,-20.203,-55.786,10.193
-0.337,0.113,0.132,-25.146,-43.762,12.939
-0.360,0.095,0.185,-30.518,-31.982,14.099
-0.364,0.100,0.222,-34.302,-20.386,14.587
-0.362,0.106,0.279,-34.302,-10.803,15.564
-0.365,0.102,0.356,-30.579,-4.150,17.212
-0.371,0.090,0.426,-25.452,-0.916,18.860
-0.382,0.064,0.483,-19.226,-0.183,19.836
-0.394,0.021,0.537,-12.512,-0.610,20.142
-0.410,-0.023,0.596,-6.958,-0.427,18.921
-0.417,-0.043,0.632,-4.578,0.549,16.052
-0.414,-0.037,0.660,-4.395,2.136,12.268
-0.407,-0.022,0.678,-4.395,4.395,9.705
-0.404,-0.016,0.713,-4.517,7.385,9.216
-0.401,-0.020,0.748,-5.066,9.460,9.705
-0.406,-0.030,0.770,-5.981,11.047,10.925
-0.411,-0.042,0.789,-6.775,12.451,11.902
-0.417,-0.054,0.813,-6.714,13.428,12.207
-0.417,-0.061,0.842,-6.714,14.526,11.780
-0.415,-0.065,0.876,-6.775,14.954,11.047
-0.417,-0.073,0.902,-7.507,14.404,10.315
-0.419,-0.081,0.912,-8.667,13.184,9.583
-0.420,-0.084,0.905,-9.399,11.169,8.667
-0.426,-0.087,0.900,-8.179,9.216,8.057
-0.434,-0.093,0.897,-5.859,7.263,7.446
-0.442,-0.095,0.892,-4.272,5.981,7.141
-0.446,-0.098,0.886,-3.845,5.066,7.019
-0.450,-0.103,0.882,-3.845,4.761,6.836
-0.453,-0.106,0.878,-4.639,4.944,6.714
-0.456,-0.107,0.875,-5.432,5.554,6.165
-0.456,-0.107,0.882,-5.615,5.920,5.310
-0.458,-0.104,0.889,-5.493,6.104,4.639
-0.456,-0.102,0.890,-4.883,5.493,3.906
-0.455,-0.105,0.889,-3.601,4.333,3.418
-0.453,-0.110,0.894,-2.197,3.723,3.052
-0.447,-0.108,0.900,-1.282,2.991,2.502
-0.445,-0.103,0.904,-0.732,2.747,2.136
-0.444,-0.103,0.908,-0.366,2.380,2.136
-0.442,-0.105,0.914,0.000,1.831,1.831
-0.438,-0.102,0.919,0.610,1.221,1.221
-0.436,-0.093,0.919,1.221,0.732,0.427
-0.433,-0.085,0.919,1.648,0.000,0.244
-0.433,-0.085,0.921,1.953,-0.305,0.366
-0.435,-0.085,0.922,1.648,-0.366,0.671
-0.433,-0.076,0.923,0.305,-0.366,1.099
-0.431,-0.076,0.924,0.793,-0.916,1.099
-0.432,-0.075,0.922,1.526,-1.526,1.099
-0.430,-0.073,0.913,2.380,-2.319,0.977
-0.434,-0.069,0.901,3.113,-3.174,0.671
-0.440,-0.068,0.889,3.601,-3.906,0.732
-0.444,-0.070,0.878,3.906,-4.272,0.793
-0.445,-0.068,0.870,3.845,-4.028,0.488
-0.443,-0.066,0.868,3.174,-3.540,0.183
-0.439,-0.071,0.871,2.319,-2.930,0.305
-0.438,-0.082,0.878,1.526,-2.502,0.305
-0.434,-0.084,0.882,0.793,-2.258,-0.305
-0.430,-0.079,0.882,0.549,-2.441,-1.221
-0.425,-0.067,0.879,0.916,-3.235,-1.587
-0.422,-0.055,0.876,1.831,-4.089,-1.892
-0.421,-0.046,0.872,2.747,-5.188,-1.282
-0.427,-0.047,0.851,3.357,-5.432,-0.366
-0.205,0.155,2.631,5.005,44.678,21.057
-0.139,0.167,2.900,-15.137,19.531,30.518
-0.095,0.111,3.037,-28.137,-12.146,40.833
-0.043,-0.011,3.004,-30.090,-48.096,48.218
0.022,-0.139,2.827,-21.484,-84.290,48.767
0.107,-0.230,2.592,-5.798,-115.356,41.870
0.176,-0.271,2.366,13.489,-136.963,29.724
0.222,-0.286,2.161,35.095,-150.024,15.808
0.264,-0.305,1.983,52.734,-158.203,3.235
0.302,-0.334,1.830,60.486,-166.077,-6.775
0.337,-0.346,1.698,56.946,-177.368,-16.785
0.363,-0.335,1.582,45.227,-192.932,-26.855
0.383,-0.296,1.468,29.358,-212.524,-36.682
0.402,-0.231,1.342,13.367,-234.192,-45.654
0.428,-0.170,1.173,0.244,-254.700,-53.162
0.444,-0.116,0.972,-10.132,-271.362,-60.242
0.452,-0.054,0.750,-19.409,-283.630,-67.017
0.444,0.016,0.529,-28.503,-291.687,-71.716
0.429,0.087,0.300,-37.354,-294.922,-73.425
0.415,0.169,0.052,-46.936,-294.312,-71.655
0.388,0.234,-0.210,-58.777,-290.894,-66.528
0.356,0.272,-0.489,-71.838,-282.654,-57.678
0.297,0.278,-0.763,-85.999,-269.775,-45.715
0.260,0.243,-1.047,-100.403,-255.737,-30.640
0.240,0.176,-1.267,-111.206,-228.943,-15.625
0.241,0.107,-1.416,-114.197,-198.914,0.061
0.269,0.040,-1.495,-109.436,-168.518,17.090
0.322,-0.051,-1.529,-96.863,-133.484,33.203
0.369,-0.172,-1.537,-78.308,-93.079,45.532
0.412,-0.306,-1.533,-55.969,-47.241,53.467
0.451,-0.439,-1.517,-33.936,-0.854,54.565
0.473,-0.551,-1.471,-16.724,43.396,47.241
0.471,-0.614,-1.388,-6.775,83.191,31.372
0.450,-0.624,-1.260,-3.906,118.469,8.850
0.398,-0.580,-1.087,-4.822,151.306,-16.296
0.335,-0.490,-0.889,-4.150,182.922,-41.077
0.281,-0.328,-0.625,2.319,213.867,-60.913
0.210,-0.136,-0.324,16.724,244.141,-72.693
0.166,0.048,0.010,33.997,272.156,-73.120
0.140,0.165,0.335,45.166,292.969,-63.538
0.115,0.175,0.611,45.532,303.162,-49.988
0.146,0.139,0.882,36.865,302.185,-38.086
0.189,0.161,1.237,25.513,292.847,-32.288
0.214,0.200,1.616,22.583,281.677,-31.738
0.185,0.220,1.946,34.668,275.513,-33.142
0.156,0.215,2.151,57.190,272.766,-35.156
0.147,0.181,2.244,72.449,265.869,-37.537
0.126,0.146,2.281,67.688,248.291,-40.771
0.092,0.182,2.369,46.326,221.680,-44.861
0.036,0.255,2.480,22.522,193.054,-46.631
-0.041,0.324,2.554,6.042,167.969,-42.725
-0.112,0.337,2.536,-1.160,145.386,-33.142
-0.153,0.336,2.448,-0.244,125.122,-19.714
-0.166,0.260,2.289,7.263,102.966,-3.540
-0.164,0.199,2.106,17.639,96.436,6.653
-0.155,0.153,1.939,29.175,98.267,14.221
-0.150,0.134,1.878,37.476,87.891,20.264
-0.099,0.099,1.900,44.434,69.580,24.597
-0.083,0.035,1.871,48.218,41.565,25.757
-0.070,-0.005,1.750,44.067,27.466,23.315
-0.046,-0.052,1.590,35.217,19.531,16.907
-0.056,-0.068,1.463,18.616,5.920,7.996
-0.082,-0.067,1.371,-1.526,-0.366,0.366
-0.106,-0.023,1.284,-19.897,-5.859,-5.493
-0.102,0.052,1.206,-32.593,-7.202,-7.385
-0.113,0.004,1.289,-36.011,-16.296,-6.653
-0.144,0.059,1.247,-35.156,-23.254,-13.489
-0.132,0.119,1.201,-31.494,-6.042,-14.771
-0.145,0.199,1.169,-25.269,-6.348,-16.113
-0.146,0.234,1.149,-20.386,-6.775,-15.930
-0.140,0.260,1.114,-15.991,-3.113,-14.587
-0.125,0.270,1.089,-14.648,-4.272,-10.071
-0.106,0.247,1.068,-13.794,-7.690,-5.371
-0.079,0.215,1.047,-12.939,-10.681,-0.488
-0.049,0.179,1.027,-12.451,-13.306,4.883
-0.026,0.136,1.009,-12.146,-14.343,8.240
-0.006,0.098,1.002,-11.841,-15.137,10.010
0.006,0.069,0.998,-11.108,-15.381,10.315
0.017,0.052,0.989,-9.888,-14.832,9.277
0.025,0.045,0.979,-8.240,-13.672,7.568
0.025,0.043,0.969,-6.348,-12.207,5.676
0.024,0.041,0.956,-3.967,-10.559,4.333
0.023,0.041,0.947,-1.953,-8.728,3.357
0.020,0.042,0.941,-0.183,-7.568,2.686
0.017,0.042,0.931,0.977,-6.958,2.380
0.013,0.040,0.925,1.526,-6.592,2.380
0.009,0.036,0.920,1.709,-6.897,2.136
0.002,0.031,0.920,1.465,-7.385,1.892
0.000,0.028,0.924,1.282,-7.996,1.587
-0.002,0.024,0.925,0.977,-8.545,1.038
-0.005,0.023,0.928,0.610,-9.033,0.549
-0.009,0.025,0.931,0.366,-9.094,0.427
-0.011,0.028,0.936,0.977,-8.789,0.549
-0.011,0.028,0.936,2.136,-7.690,0.793
-0.010,0.025,0.936,3.540,-6.592,1.282
-0.011,0.021,0.934,4.272,-5.188,1.892
-0.008,0.016,0.932,4.578,-3.845,2.197
-0.006,0.011,0.932,4.456,-2.625,2.319
-0.006,0.010,0.939,3.845,-1.770,2.258
-0.012,0.013,0.943,2.625,-1.404,1.770
-0.016,0.021,0.947,1.648,-1.404,1.343
-0.021,0.027,0.951,1.221,-1.587,1.343
-0.024,0.031,0.951,1.526,-1.709,1.404
-0.030,0.032,0.953,1.953,-1.587,1.770
-0.035,0.034,0.957,2.502,-1.648,1.831
-0.038,0.037,0.954,2.747,-2.319,1.709
-0.039,0.039,0.946,2.380,-3.113,1.404
-0.044,0.046,0.942,1.892,-3.967,0.793
-0.048,0.055,0.938,1.404,-4.395,0.244
-0.052,0.062,0.939,1.282,-4.456,0.122
-0.053,0.061,0.933,1.282,-3.784,0.366
-0.055,0.057,0.927,1.099,-3.418,0.610
-0.052,0.053,0.928,0.488,-2.991,1.038
-0.049,0.055,0.937,-0.244,-2.441,1.160
-0.047,0.056,0.950,-0.488,-1.709,1.343
-0.045,0.054,0.960,-0.244,-0.793,1.465
-0.043,0.051,0.966,0.488,-0.183,1.221
-0.040,0.050,0.973,0.977,0.366,0.854
-0.040,0.049,0.980,1.282,0.732,0.488

0.326,0.621,-1.777,-0.977,192.261,-1.953
0.431,0.735,-1.600,-13.916,253.967,8.545
0.546,0.817,-1.401,-17.944,302.673,23.865
0.664,0.810,-1.162,-4.456,338.196,44.678
0.920,0.722,-0.944,21.301,362.366,70.923
0.919,0.439,-0.298,46.265,375.732,95.215
1.145,0.254,-0.223,56.274,397.095,119.202
1.240,0.038,0.157,42.236,444.824,152.222
1.443,-0.211,0.679,16.357,466.309,162.537
1.637,-0.352,1.199,-6.531,481.384,158.752
1.655,-0.568,1.811,-22.766,488.403,153.992
1.606,-0.803,2.276,-31.982,468.445,138.672
1.598,-0.871,2.497,-34.302,428.955,104.553
1.591,-0.765,2.580,-17.700,381.409,61.279
1.625,-0.614,2.650,24.841,325.500,20.874
1.636,-0.558,2.786,83.435,267.944,-5.432
1.593,-0.601,2.973,132.751,217.407,-16.602
1.516,-0.702,3.128,150.208,178.528,-17.395
